Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE,Algorithm,Model_Variation,Lag
Model_1,3570.660888671875,4525.61328125,3891.945068359375,1484.139892578125,1602.4107666015625,1546.4595947265625,0.9866361618041992,0.997795820236206,0.9329470992088318,MLP-Pytorch,LagRD,3
Model_2,3541.80517578125,4538.140625,3878.548583984375,1373.9873046875,1508.7740478515625,1421.890625,0.929474115371704,0.949780523777008,0.872590184211731,MLP-Pytorch,LagRD,3
Ensemble,,4530.62060546875,3883.70654296875,,1554.7449951171875,1484.0416259765625,,0.9736183285713196,0.9026888608932496,MLP-Pytorch,LagRD,3
,,,43512.468233094136,,,36923.801443903256,,,56.21055415600444,ElasticNet,LagRD,3
,,,4319.474380696,,,1928.640948994644,,,1.1913930129288763,MLP-Scikit,LagRD,3
,,,2952.039297000368,,,684.444690862762,,,0.438751874956566,RF,LagRD,3
,,,242339.25420089852,,,172633.79800102467,,,100.0,SVR,LagRD,3
,,,2350.1181978166487,,,569.5470320331082,,,0.525192632535912,XGBoost,LagRD,3
Model_1,10847.3486328125,11381.0615234375,11952.1259765625,5528.81005859375,6113.10888671875,6301.92431640625,4.983764171600342,6.545953273773193,6.1937127113342285,MLP-Pytorch,AGT,3
Model_2,14610.8212890625,18946.34765625,16193.5126953125,9257.40625,10582.25,10515.3935546875,10.524543762207031,12.697219848632812,12.647951126098633,MLP-Pytorch,AGT,3
Ensemble,,14331.5927734375,13363.80078125,,7968.17138671875,8029.71435546875,,9.041831970214844,8.969222068786621,MLP-Pytorch,AGT,3
,,,75002.95525789296,,,52589.96134355057,,,90.09343108842631,ElasticNet,AGT,3
,,,21056.447539126464,,,12838.409268023534,,,14.597508685052194,MLP-Scikit,AGT,3
,,,3127.965064624848,,,794.6087784061283,,,0.6847577461316515,RF,AGT,3
,,,134707.35261352616,,,111570.66685841377,,,135.2181231824779,SVR,AGT,3
,,,1496.95973459981,,,543.5605007628146,,,0.7327329454545187,XGBoost,AGT,3
Model_1,3553.2392578125,4598.59130859375,3929.692626953125,1464.39208984375,1616.6480712890625,1546.8160400390625,0.9913156628608704,1.020402908325195,0.9584699869155884,MLP-Pytorch,AGTwRD,3
Model_2,3566.523193359375,4604.5283203125,3921.3388671875,1495.2647705078125,1649.7352294921875,1576.7161865234375,1.0000526905059814,1.0455116033554075,0.9634557962417604,MLP-Pytorch,AGTwRD,3
Ensemble,,4599.14697265625,3924.83251953125,,1632.3902587890625,1560.5556640625,,1.0302953720092771,0.9571436643600464,MLP-Pytorch,AGTwRD,3
,,,43512.468233094136,,,36923.801443903256,,,56.21055415600444,ElasticNet,AGTwRD,3
,,,4549.764370075749,,,2131.041173375791,,,1.2953272105127702,MLP-Scikit,AGTwRD,3
,,,3885.415694046616,,,827.4698106168079,,,0.4812756623149461,RF,AGTwRD,3
,,,242339.25420089852,,,172633.79800102467,,,100.0,SVR,AGTwRD,3
,,,2359.230089828568,,,530.9807026674996,,,0.499703807211532,XGBoost,AGTwRD,3
Model_1,3389.880615234375,3994.48193359375,3469.8857421875,1511.6380615234375,1508.7509765625,1539.7999267578125,1.1438008546829224,1.0387704372406006,1.0078113079071045,MLP-Pytorch,MGTwRD,3
Model_2,3373.042236328125,4007.277099609375,3461.042724609375,1460.6337890625,1460.9091796875,1479.4495849609375,1.111589789390564,1.0049654245376587,0.972017765045166,MLP-Pytorch,MGTwRD,3
Ensemble,,4000.3115234375,3465.030029296875,,1482.965087890625,1509.612060546875,,1.0191316604614258,0.9898687601089478,MLP-Pytorch,MGTwRD,3
,,,43512.468233094136,,,36923.801443903256,,,56.21055415600444,ElasticNet,MGTwRD,3
,,,4273.589128873715,,,1938.2198190935533,,,1.1661210909317823,MLP-Scikit,MGTwRD,3
,,,3691.571997913776,,,843.7007959503036,,,0.5035941248218582,RF,MGTwRD,3
,,,242339.25420089852,,,172633.79800102467,,,100.0,SVR,MGTwRD,3
,,,2248.2853737760765,,,503.9208193125339,,,0.4560430537046877,XGBoost,MGTwRD,3
Model_1,3328.9931640625,3924.677001953125,3412.927978515625,1428.2861328125,1442.7034912109375,1462.0196533203125,1.175369143486023,1.067070484161377,1.0388201475143433,MLP-Pytorch,AllVar,3
