Lag,MAE,RMSE,MAPE,Model,Sub-Model
1.0,103996.22209669426,129639.25443571148,179.1599920943186,ElasticNet,MGT
2.0,97078.46476547777,121074.83605283628,164.34396339885134,ElasticNet,MGT
3.0,92351.37529701449,115906.5365263754,155.2842841336308,ElasticNet,MGT
1.0,91789.24000254924,115107.34257540612,251.91321355837056,ElasticNet,AGT
2.0,88654.33667944776,111137.27031644764,241.7477783806122,ElasticNet,AGT
3.0,86782.63299766008,108872.8341518208,236.2229827145506,ElasticNet,AGT
1.0,1505.0317867966355,4248.007022148663,1.5781676822514208,ElasticNet,MGTwRD
2.0,1849.4375376626217,4397.5412447719955,1.773722094392126,ElasticNet,MGTwRD
3.0,1941.0805048622117,4458.624205269725,1.8673792431373033,ElasticNet,MGTwRD
1.0,4648.850782371295,7838.366535668815,4.259052376803312,ElasticNet,AGTwRD
2.0,4648.850782371295,7838.366535668815,4.259052376803312,ElasticNet,AGTwRD
3.0,4648.850782371295,7838.366535668815,4.259052376803312,ElasticNet,AGTwRD
1.0,1505.0317867966355,4248.007022148663,1.5781676822514208,ElasticNet,AllVar
2.0,1849.4375376626217,4397.5412447719955,1.773722094392126,ElasticNet,AllVar
3.0,1941.0805048622117,4458.624205269725,1.8673792431373033,ElasticNet,AllVar
1.0,795.6739360950509,2306.14217379713,5.9231610538332005,ElasticNet,Macros
2.0,793.373973865062,2303.9351979983285,6.035230880665853,ElasticNet,Macros
3.0,793.0900236733067,2303.6195451307467,6.0647184435771715,ElasticNet,Macros
1.0,67444.64813742085,103644.14173703828,97.59210558229672,LinSVR,MGT
2.0,64295.628927581165,99964.17359683412,95.03960902117716,LinSVR,MGT
3.0,63361.15566785848,98207.12962529284,93.4634959422208,LinSVR,MGT
1.0,91789.24000254924,115107.34257540612,251.91321355837056,LinSVR,AGT
2.0,88654.33667944776,111137.27031644764,241.7477783806122,LinSVR,AGT
3.0,86782.63299766008,108872.8341518208,236.2229827145506,LinSVR,AGT
1.0,1159.4483677845074,4458.481965179885,0.9142313884920832,LinSVR,MGTwRD
2.0,1147.3393567554997,4427.6259828276225,0.9082514923445352,LinSVR,MGTwRD
3.0,1693.052881061216,4771.943891054454,1.1676159038635885,LinSVR,MGTwRD
1.0,4659.266117727359,7965.493474721897,4.335524741178166,LinSVR,AGTwRD
2.0,3918.785812721575,6621.84674814011,4.013409608892561,LinSVR,AGTwRD
3.0,4261.270446591923,7164.907014154304,4.312958578950274,LinSVR,AGTwRD
1.0,1746.40570181019,4271.574345654343,1.7595759904710222,LinSVR,AllVar
2.0,1431.5635755941755,4273.297675231334,1.3470329717695284,LinSVR,AllVar
3.0,1324.9152664538049,4324.885332015555,1.283669441145235,LinSVR,AllVar
1.0,889.5313792169269,1867.137748406688,28.3377307885882,LinSVR,Macros
2.0,693.1309931485762,1568.503929054997,16.071759299472603,LinSVR,Macros
3.0,689.8012549550836,1581.5142918628978,16.809382248654746,LinSVR,Macros
1.0,692.0485239018261,2610.2118911210905,0.5927081946692168,RF,MGT
2.0,835.5791020772252,3149.209943583795,0.6761450839708649,RF,MGT
3.0,906.4669208247016,3317.5015825139326,0.7341758080475204,RF,MGT
1.0,91789.24000254924,115107.34257540612,251.91321355837056,RF,AGT
2.0,88654.33667944776,111137.27031644764,241.7477783806122,RF,AGT
3.0,86782.63299766008,108872.8341518208,236.2229827145506,RF,AGT
1.0,866.993839295187,3738.7305209802794,0.650512760802116,RF,MGTwRD
2.0,897.2425178799283,3777.4734530373,0.6908107153003166,RF,MGTwRD
3.0,934.1375684477458,3726.641484383449,0.7135962969313894,RF,MGTwRD
1.0,4247.531320653306,6760.195226919772,4.301764965255838,RF,AGTwRD
2.0,5090.446428642118,8228.972638107709,5.021336709342463,RF,AGTwRD
3.0,5208.905986926692,8633.4348301063,5.084737699919909,RF,AGTwRD
1.0,890.6420385976188,3839.138606103093,0.675629338033107,RF,AllVar
2.0,918.6121037367884,3853.561406603856,0.7049976957079332,RF,AllVar
3.0,938.36014526001,3857.725199794677,0.7271528846551419,RF,AllVar
1.0,868.0726788623331,3407.3893106852256,5.680300793638096,RF,Macros
2.0,839.8533991773347,3090.1943719111814,5.661217148338146,RF,Macros
3.0,857.5952247814498,3215.3539224255283,5.569441864694129,RF,Macros
1.0,27747.243059292687,44328.60830754608,46.840445482570416,LinReg,MGT
2.0,27925.424438454353,44663.49464348919,46.27786768672412,LinReg,MGT
3.0,28111.179173825265,45206.31066333134,46.213361434299706,LinReg,MGT
1.0,91789.24000254924,115107.34257540612,251.91321355837056,LinReg,AGT
2.0,88654.33667944776,111137.27031644764,241.7477783806122,LinReg,AGT
3.0,86782.63299766008,108872.8341518208,236.2229827145506,LinReg,AGT
1.0,1475.154590347492,3441.3794536239902,1.7064344288462212,LinReg,MGTwRD
2.0,1475.0114308757652,3408.8997228445487,1.6965513233678546,LinReg,MGTwRD
3.0,1485.466150120282,3400.7847241593117,1.7162337585716871,LinReg,MGTwRD
1.0,4036.5824610630657,6336.45816381888,5.759876128189287,LinReg,AGTwRD
2.0,4099.0042044054835,6328.74257562853,5.560606297359161,LinReg,AGTwRD
3.0,4103.681938954185,6408.957794553136,5.3146329442859255,LinReg,AGTwRD
1.0,1636.7097934899812,3512.9072909114175,2.1937162809915267,LinReg,AllVar
