Country,Lag,MAE,RMSE,MAPE
CA,1,2402.2135701165216,2972.2247366783854,15.0697067762248
CA,2,2295.093649620212,2997.9371408120005,14.64563280409015
CA,3,2265.684076062033,3027.7095197371705,14.555420848300857
DE,1,9625.677082774275,11184.478486811957,13.168350813563947
DE,2,8330.114731767891,9767.072182869551,11.714988195705367
DE,3,7603.772074842691,9206.262997746731,10.919787379430701
JP,1,19407.590106796735,24276.713303419805,19.0734285471783
JP,2,18480.319835661794,23218.165001569458,18.356297430300984
JP,3,17923.819518116303,22584.46933873908,17.93596185599387
KR,1,17735.493371097145,21094.66954917412,63.15582305481296
KR,2,16834.515967106166,20144.777826626392,59.975996995169865
KR,3,15826.449032452649,19370.974046456693,56.47377016592493
CH,1,1159.7904032677056,1436.2301679892125,11.105485401488272
CH,2,1049.7332234621404,1355.228731884427,10.261204501454168
CH,3,943.8201243324386,1268.9969921302995,9.551369746793734
GB,1,4349.659579753593,5891.775611357443,9.660466850439777
GB,2,3341.719220607777,4474.7159327774925,7.773779412924385
GB,3,2492.6990919333475,3291.6232826056503,6.161426545406842
US,1,69279.23830688841,90730.95862766347,22.091800636180967
US,2,58213.96938579349,78166.93254180253,18.974085695252363
US,3,53707.16053010867,71743.7492391744,17.715229861015473
CN,1,106700.88345911099,126267.28878082254,250.36273272585925
CN,2,104911.59462835408,123433.19844929299,247.30796860713463
CN,3,103900.31208774695,121785.46183328985,245.58834522230438
