Country,Lag,MAE,RMSE,MAPE
CA,1,649.8595520983775,840.3341602093315,3.044999446356742
CA,2,597.1070232449033,771.897718708998,2.766089084650175
CA,3,598.9182677997475,772.0588747484809,2.777430525624405
DE,1,2231.7624305581935,2844.4131367143377,2.530978568639056
DE,2,2170.4779723240486,2856.3692883034128,2.4768782524018644
DE,3,2136.5012656323647,2836.4037752536346,2.4420818725670586
JP,1,3435.824088318644,4640.6716578738515,2.4629677374537096
JP,2,3440.095092121449,4583.318303394691,2.470216900023193
JP,3,3211.6978276791774,4397.4830877610575,2.3320124180015323
KR,1,1658.0871495439608,2160.259016347375,3.989839589548926
KR,2,1632.2114642520928,2131.6976566489766,3.8353717159608274
KR,3,1598.8683814969338,2132.779870512306,3.711276169537843
CH,1,543.882949233712,638.7728298637567,4.255377051358282
CH,2,484.67849071044793,606.6211033828919,3.806897704257761
CH,3,569.8335498245499,647.7398959617182,4.611670412195851
GB,1,2101.2668755367677,4096.481160075925,4.163937844258971
GB,2,2254.647714723808,4220.042553339933,4.757156309946719
GB,3,2342.9447733393317,3706.011064867233,5.184053316987846
US,1,8037.537138176946,10239.153759875968,2.1586855463913843
US,2,7898.073992809831,10071.506357596842,2.1233078053268497
US,3,7125.9458601477,9293.37993117157,1.9443680635134655
CN,1,4082.735842910302,4555.186090652465,8.625334783642721
CN,2,4082.735842910302,4555.186090652465,8.625334783642721
CN,3,4082.735842910302,4555.186090652465,8.625334783642721
