Country,Lag,MAE,RMSE,MAPE
CA,1,411.46222032368155,508.1705643323465,2.429844745427537
CA,2,425.102659473725,514.5624591251229,2.5545598712790554
CA,3,435.0509065200074,526.0614435620639,2.5811987807037555
DE,1,2198.7028428925996,2493.5065375867434,2.8686867248003165
DE,2,2396.5206049752815,2749.177450077321,3.1466613463563746
DE,3,2270.1066619086087,2621.9530593223435,2.980080886398787
JP,1,3539.685565230953,3777.2265581255897,2.920044579920614
JP,2,3487.588721392558,3706.260084430515,2.859105978874655
JP,3,2775.335838503992,3299.0193987602697,2.391112569591334
KR,1,1129.9181515860994,1423.6412338204825,3.1592594116458157
KR,2,1063.0943731145926,1231.4160443731384,2.825672510265933
KR,3,1040.6495358344964,1297.5392191165301,3.0838514392030216
CH,1,674.4792950912542,847.4681042958161,6.2322341180074075
CH,2,650.0857629884404,853.6566526405899,5.927476313603551
CH,3,588.9308008033486,776.4422184645558,5.363439281451394
GB,1,1028.2444157414632,1383.5544965611984,2.904748844724345
GB,2,2067.199986007888,2646.3346997145695,5.050208703933328
GB,3,3920.190115906808,5562.787219139055,7.810141448924714
US,1,7315.195895907324,9205.66344563555,2.2465878078182113
US,2,7192.627097691118,9056.39408174603,2.2097164746470006
US,3,6995.718027446965,9207.027083092178,2.1776651525568376
CN,1,7678.540501921976,11275.685938341097,4.098936824015804
CN,2,7678.540501921976,11275.685938341097,4.098936824015804
CN,3,7678.540501921976,11275.685938341097,4.098936824015804
