Country,Lag,MAE,RMSE,MAPE
CA,1,144.5591023284929,318.77277585872434,0.6397129771474441
CA,2,144.5587742702501,318.80213133501604,0.6398907619634269
CA,3,144.55331463713503,318.84757732376227,0.6401334293976391
DE,1,763.3352859306117,1417.8906684671913,0.835480665370177
DE,2,780.6517826663079,1428.6624322776343,0.8556122848849373
DE,3,781.4808857166165,1429.0298069852875,0.8564666576637641
JP,1,969.8941818777715,1974.6374313192478,0.6853972945807171
JP,2,938.1321139096468,1966.2308711342105,0.6662074465405313
JP,3,940.2361023666874,1966.3683675884806,0.667511084561964
KR,1,697.6057305809866,1362.6415170315931,1.4535762083414467
KR,2,774.7618696596775,1383.0616462910737,1.6024336492670126
KR,3,796.7401353225172,1387.6823265977737,1.6495361810946962
CH,1,236.44259595462896,414.328951216328,1.8111386137257692
CH,2,239.05425820830027,415.14100189906753,1.8304232305033898
CH,3,239.5765173954654,410.72215196538855,1.8113492154251207
GB,1,458.58360450655124,1497.313621842438,1.0232954855436447
GB,2,466.50457762761005,1500.8190073953272,1.0413043653498968
GB,3,467.80145428360066,1501.2171112645044,1.044152429640425
US,1,4156.239303609994,7559.5983628489375,0.9631137589863127
US,2,4293.676298859357,7625.2984001634595,0.9978827955556548
US,3,4295.1811314592205,7626.146585973315,0.9982410026444224
CN,1,4355.9697836994965,7821.490520116125,2.8973537342004496
CN,2,4792.808215619843,7883.008933133129,3.1445742722548875
CN,3,4897.180951955379,7905.1681122663085,3.226726648092213
