Country,Lag,MAE,RMSE,MAPE
CA,1,156.0753576207321,351.3686402105311,0.6113145555366738
CA,2,155.99291058159235,351.38601325384263,0.6110158450370963
CA,3,155.86279622611323,351.4109000697286,0.6105445905874791
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471
DE,2,489.58936475870496,759.7741775096479,0.5293226454220156
DE,3,490.2975629967934,760.3391546362865,0.5301037598869786
JP,1,712.3916340691345,1429.9919320943022,0.4633179060135671
JP,2,685.5321689785573,1418.916727228868,0.4485064954373886
JP,3,687.5175980155894,1419.2430055197033,0.4496795999073179
KR,1,825.260677563191,1629.9446189542593,1.6448315253714147
KR,2,882.0928382997678,1629.7355503652707,1.6929478628402594
KR,3,909.742289820909,1631.1296576925467,1.722032319058839
CH,1,278.0169422015707,514.4568206373857,2.026433553000488
CH,2,275.7635354821291,517.2104282917402,2.0195687119817416
CH,3,280.6225540638012,522.6748985130213,2.0704778343385306
GB,1,535.2001148648046,1884.7496308576597,0.9753491846841433
GB,2,527.2792233134887,1880.0662212584425,0.9685018642011008
GB,3,532.5084018558027,1879.9554499543137,0.9768568716452368
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091
US,2,3022.928376340511,4479.899961996363,0.6619339664326669
US,3,3023.8613599207915,4480.1928355462305,0.6621375941772155
CN,1,3746.5237983359043,6729.531794456125,2.020290253370022
CN,2,4136.759104096807,6788.052238384626,2.1135375518274424
CN,3,4159.486570341231,6807.715311299221,2.176483500060642
