Country,Lag,MAE,RMSE,MAPE
CA,1,146.55270367361814,318.1594389240655,0.6420311531325219
CA,2,146.61018991891166,318.16633999291867,0.6423839607272338
CA,3,146.47909367685094,317.6430729049749,0.6421651711492633
DE,1,763.3352859306117,1417.8906684671913,0.835480665370177
DE,2,780.6517826663079,1428.6624322776343,0.8556122848849373
DE,3,781.4808857166165,1429.0298069852875,0.8564666576637641
JP,1,960.6144211982003,1974.9872583706376,0.6798772724432506
JP,2,961.0107847315894,1975.020147677724,0.680114682221303
JP,3,961.4548431289767,1975.0589261396585,0.6803806597815109
KR,1,697.6057305809866,1362.6415170315931,1.4535762083414467
KR,2,774.7618696596775,1383.0616462910737,1.6024336492670126
KR,3,796.7401353225172,1387.6823265977737,1.6495361810946962
CH,1,205.56436524371142,403.15859646174283,1.56987795198564
CH,2,209.3978420071485,403.1427541198058,1.5983862543026546
CH,3,215.486489327994,398.63174746290633,1.6195339434500953
GB,1,435.57994930645526,1498.2033523235987,0.9699762824386355
GB,2,450.2143684402506,1501.9589220688467,1.0018987256592815
GB,3,452.83514730566515,1502.31531747031,1.0076468288025648
US,1,4156.239303609994,7559.5983628489375,0.9631137589863127
US,2,4293.676298859357,7625.2984001634595,0.9978827955556548
US,3,4295.1811314592205,7626.146585973315,0.9982410026444224
CN,1,4355.9697836994965,7821.490520116125,2.8973537342004496
CN,2,4792.808215619843,7883.008933133129,3.1445742722548875
CN,3,4897.180951955379,7905.1681122663085,3.226726648092213
