Country,Lag,MAE,RMSE,MAPE
CA,1,161.11295054801747,351.7356774151568,0.6294933262865715
CA,2,161.13571707740368,351.7599416235177,0.6295737887733155
CA,3,160.98800756695812,351.4657123343359,0.6289907710664906
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471
DE,2,489.58936475870496,759.7741775096479,0.5293226454220156
DE,3,490.2975629967934,760.3391546362865,0.5301037598869786
JP,1,706.9216143088739,1437.5971886200205,0.4626562212738823
JP,2,707.2577526335048,1437.5006382154004,0.4627922841465361
JP,3,707.634338855905,1437.3939290527521,0.4629447196157098
KR,1,825.260677563191,1629.9446189542593,1.6448315253714147
KR,2,882.0928382997678,1629.7355503652707,1.6929478628402594
KR,3,909.742289820909,1631.1296576925467,1.722032319058839
CH,1,256.8625463991216,528.8980063537019,1.9009690703989188
CH,2,254.0389758068269,531.0226021042021,1.8899787220038136
CH,3,262.0609763163443,535.6516028060305,1.9622215021356086
GB,1,519.4688165856502,1884.058257386234,0.9499277276536223
GB,2,521.3327565501514,1882.2889415307347,0.9608068174006721
GB,3,527.2259386249228,1882.0223827371851,0.9701116065442543
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091
US,2,3022.928376340511,4479.899961996363,0.6619339664326669
US,3,3023.8613599207915,4480.1928355462305,0.6621375941772155
CN,1,3746.5237983359043,6729.531794456125,2.020290253370022
CN,2,4136.759104096807,6788.052238384626,2.1135375518274424
CN,3,4159.486570341231,6807.715311299221,2.176483500060642
