Country,Lag,MAE,RMSE,MAPE
AU,1,1267.875952022759,1648.5080999167167,6.892593547915679
AU,2,1267.405860361096,1647.3603581652271,6.790039680922553
AU,3,1355.8303876284285,1689.0020206843947,7.021841137731934
AT,1,135.38368224798143,179.037645779804,2.8329364761392273
AT,2,139.20174089596674,170.16981643738694,2.859679035988765
AT,3,140.08597234596334,171.7115020329568,2.8826178089760166
BE,1,451.9841532125939,705.7774228643667,3.38265401244961
BE,2,479.1946422137826,739.9513145262384,3.633399261829685
BE,3,499.8958606291453,768.5302544317886,3.8188628405863145
CA,1,415.88549446631146,505.07152586280273,2.433875928323902
CA,2,421.12393021365574,507.9446451621789,2.493256463214216
CA,3,434.97321074792694,515.8649005156071,2.554788343553432
CZ,1,328.80892709004354,363.1651067554991,5.047526734401521
CZ,2,345.8290152683997,382.71723802180827,5.309937763064097
CZ,3,396.8733802772469,429.7729014786534,5.982409696406286
DK,1,165.61259508193643,189.88190398136007,3.8877942587957888
DK,2,169.6390090808306,191.84936811017897,3.936496308977451
DK,3,169.63841410561326,191.84891033560135,3.936486086949216
FI,1,270.7939027484745,296.3822989669733,6.087150581317623
FI,2,277.3244979368844,306.9742737340068,6.31002251419481
FI,3,247.47227233247077,266.96555511660034,5.596157567738505
FR,1,862.7073205058014,980.5539262401885,1.8498052154370523
FR,2,942.086748326692,1055.919693249201,2.043741623463199
FR,3,958.7466777708396,1073.858582449108,2.0834151171496194
DE,1,2156.575677667998,2521.9255275272462,2.869351523921955
DE,2,2248.142866770091,2624.937762680569,2.9973897674808616
DE,3,2248.149372506813,2624.94499913376,2.9973984605115347
GR,1,112.94649391199009,166.43714189338337,6.602207577068215
GR,2,125.81946327599307,147.01346149304243,7.005935263587242
GR,3,90.55498213985852,132.8117481383877,5.516324608439041
HU,1,180.73489974854985,248.7688805448276,6.8939697805356746
HU,2,274.87427916107634,337.71402432157765,9.97864216951616
HU,3,277.26404122324925,338.82868273827154,10.055956838848996
IS,1,37.93200589515995,40.68931458731873,19.510319625223673
IS,2,42.58834993585356,50.465775776149535,19.0131634186643
IS,3,41.05940195140903,52.67611808380042,17.347395843464067
IE,1,79.11680130607344,101.85961457224609,2.480346646834591
IE,2,48.91743827647708,57.481121132371406,2.0907618659199065
IE,3,71.4312082343837,85.50854316926268,2.706557975950314
IT,1,864.687199518321,1015.7489016870619,4.141602329030782
IT,2,889.6635211952835,1047.3475456733788,4.262553366812026
IT,3,896.5749114923419,1054.7549552596345,4.295378734137769
JP,1,3382.283791519443,3625.2549404389824,2.785618814500293
JP,2,3457.282106007542,3695.3464857633207,2.8496695910104397
JP,3,3225.227777432603,3556.9932134309015,2.712843556730494
KR,1,1085.3079183086938,1336.811093199192,2.9137664797720615
KR,2,1368.422256603514,1739.9595068393612,3.887767478001263
KR,3,1370.68993881344,1587.2160992520194,3.8426713398237826
LU,1,62.32160696309418,62.52995090112573,8.321844127648827
LU,2,39.53203209375977,46.02635214565787,5.12853175694253
LU,3,62.32160696309424,62.52995090112579,8.321844127648834
MX,1,396.0290512706388,523.2513305639576,4.953639670708764
MX,2,402.8009416523777,529.5858042748563,5.078232989920696
MX,3,458.5690504808428,594.1922979333227,5.997041467706152
NL,1,394.118919509149,521.5944979544582,3.0853050773930937
NL,2,417.3945550506753,544.7208046755684,3.2483464154928003
NL,3,394.72128223768846,504.39096427235233,3.0950575656829367
NZ,1,100.88666642394938,133.14290886485196,4.977221409319437
NZ,2,117.02847307861427,153.64510718657695,5.823853705473278
NZ,3,120.25899237753262,157.56488894650417,6.015930538634036
NO,1,137.65924987471303,163.24398784433478,2.4734246191088283
NO,2,202.3298443769,244.58733090371396,3.7150916189458503
NO,3,277.29716275941945,333.6943672298308,4.960173939567742
PL,1,751.2890597915009,922.8914118046151,6.34155120706392
PL,2,834.9996328926984,1171.2210755353562,6.202072720569358
PL,3,824.3552041774307,1154.3929365653462,6.081975480369241
PT,1,169.56372766062535,350.4013792842362,6.204640876741727
PT,2,184.56456440776827,352.04735390675944,7.046853732787141
PT,3,174.49366299915138,318.6552721353283,6.600383798741537
SK,1,166.99178088074004,267.5756828680542,10.62679910263017
SK,2,188.43669251564637,278.57601877301255,12.355966947070332
SK,3,180.81491704518265,275.32377524572786,12.425375364821942
