Country,Lag,MAE,RMSE,MAPE
CA,1,644.1823461706529,775.6435097879787,3.5526167148669012
CA,2,2320.2869114238365,4603.473576832274,9.644505225241337
CA,3,14758.113122987852,35045.29778698704,53.77167218183148
DE,1,2143.2560554451047,2691.2871898388757,2.791728922047829
DE,2,1756.7226464929627,2074.0235545491987,2.204363352500333
DE,3,1427.5392518385706,1879.6416658267808,1.7953470677199275
JP,1,4190.77167691491,4542.011049548987,3.387136497032387
JP,2,6520.1904747481185,11267.861693619225,4.612568280077667
JP,3,6472.574438690905,8775.8048712697,4.741722492127593
KR,1,3247.714514753307,5064.361970290777,8.5819023572156
KR,2,30526.622401638782,50710.352841693355,81.14165906450249
KR,3,21088.771979046236,37374.007671300904,62.03080970034743
CH,1,965.3933776321446,1077.1838562092266,10.558435978737318
CH,2,1350.4490739768753,1383.0496272492067,14.269882230545688
CH,3,1196.9727021386989,1215.225695664245,12.00704335874954
GB,1,5215.715742800055,8740.78963964712,9.123805412940936
GB,2,2362.2888606632027,4726.223969516186,4.3452818354793985
GB,3,3402.328408953427,6474.517658083294,5.9133238836412305
US,1,6533.724730758753,8474.68159720997,2.005770531293248
US,2,4873.873866535148,5635.670550482079,1.4840489712822318
US,3,6659.6846248544825,8543.448091919603,1.8919754915613454
CN,1,8469.25161969506,10262.557876557157,3.8713862427787196
CN,2,16381.322394329942,25631.86364179912,5.675627913896096
CN,3,7405.61678242232,9613.209996344649,3.732288511502441
