Country,Lag,MAE,RMSE,MAPE
CA,1,992.9317166193437,1247.6582589375023,5.473179127871179
CA,2,718.6583519290118,1090.0390390460727,4.558782351014763
CA,3,718.6583519291328,1090.0390390460816,4.55878235101518
DE,1,2190.1961984943296,2578.20351678215,2.883573868261597
DE,2,1441.002340786055,2171.3461867227797,2.2065208790214
DE,3,1441.0023407859367,2171.3461867227534,2.2065208790212405
JP,1,4407.491802627317,5601.429702093203,3.8925021187145608
JP,2,2092.1048110369084,3641.083319820209,2.2485058385771706
JP,3,2092.1048110366355,3641.0833198201894,2.248505838576891
KR,1,2229.291692426049,2836.4629912762543,7.377899108270261
KR,2,325.83466252623083,583.2589400529445,1.6460624796090648
KR,3,325.8346625263254,583.2589400530368,1.6460624796086023
CH,1,355.2263052166146,506.84482198969476,4.873489652062265
CH,2,355.22630521659096,506.8448219896853,4.873489652061959
CH,3,355.22630521663785,506.84482198969476,4.873489652062532
GB,1,777.8844943450227,1204.7396167260395,2.325985678332352
GB,2,698.4844887224101,1195.6632972346683,2.18570976786745
GB,3,698.484488722427,1195.6632972346683,2.185709767867466
US,1,6085.380004977973,10613.599142873176,2.201176089435947
US,2,6085.380004978715,10613.599142872908,2.2011760894360597
US,3,6085.380004978191,10613.59914287314,2.2011760894359838
CN,1,24671.938392384156,28676.546878088582,58.0182213955414
CN,2,20395.92108672365,24847.76347224745,44.654906338636906
CN,3,14530.86169245863,19055.432925604284,33.09399566520417
