Country,Lag,MAE,RMSE,MAPE
CA,1,956.2576341543629,1081.911549935096,6.602773835717487
CA,2,2719.454716329563,4468.748858932351,12.937618437322907
CA,3,1623.401565314204,1965.4353014749045,9.060416071968106
DE,1,3699.7015720396394,4769.490441424377,4.614992127954889
DE,2,3353.388279351848,3915.9240624471436,4.239137066876408
DE,3,2988.4116498017192,3600.1718294027846,3.946282983260422
JP,1,6071.980005115645,7452.8799290403595,5.788574840450651
JP,2,9593.481545296772,13645.284357673861,7.399791285009359
JP,3,8825.334555552512,12874.280237552895,6.932394525717836
KR,1,6944.173136484263,8889.025419067662,14.782751843333273
KR,2,3015.0697453514335,4124.485593096657,7.496219222346437
KR,3,4251.3875048819855,5429.765378125933,8.85632441897464
CH,1,887.0462019871902,1114.4795476853897,6.338350303525575
CH,2,1920.6183771413423,2852.121270253099,12.549761331513357
CH,3,1079.5151334159946,1428.2555348053866,7.495021963193074
GB,1,4408.631876472789,8616.799894621512,9.011581555286789
GB,2,2816.590452028233,4427.6346745020155,6.367162439267641
GB,3,1558.0409903383388,1986.7416416604763,4.066876647413982
US,1,11893.605589010565,14691.810407502291,3.916524755375053
US,2,10097.744246224918,11855.953149659414,3.5155751929672627
US,3,10251.727003816017,12129.447999894732,3.4831704068894416
CN,1,43488.62988431705,55473.69876911163,67.24749916850153
CN,2,86109.02384147875,172421.4513619747,66.62554484166392
CN,3,90244.03743278964,188736.56116760985,63.6945721873725
