Country,Lag,MAE,RMSE,MAPE
CA,1,173.91659583435828,339.3624128703717,0.6720786444244585
CA,2,217.6184594056391,474.58213682599734,0.8256746023860352
CA,3,283.43859291134993,491.5175611060684,1.0547853816006023
DE,1,755.2460511597611,1243.29797892277,0.7747515174971343
DE,2,2094.000840975908,7406.60966238791,2.3823336798883625
DE,3,2965.929824715649,10700.711186121585,3.4176566043341747
JP,1,1376.8769743507,2438.950413438248,0.8990110017244599
JP,2,1974.992380487438,4578.1400226445485,1.2973506973407314
JP,3,2056.9055745865858,4787.470159886686,1.3454652775588125
KR,1,787.6070197623886,1339.829980284161,1.4908288195671302
KR,2,1355.3671281447416,2993.081150818068,2.7117198529203397
KR,3,1513.062121134076,3307.285888354015,3.0694062893300744
CH,1,245.84326504779767,383.73882596223723,1.8388968960125138
CH,2,656.1303628067614,1436.199774865583,4.33940838071727
CH,3,676.6820888446197,1489.1042849596913,4.462877904594482
GB,1,1021.5595142178197,2202.197552698821,2.1791351548037747
GB,2,6723.868101441164,27981.1507263544,16.67239888161389
GB,3,7656.2982526133665,31018.11284004047,18.929728772710355
US,1,2081.9269735122944,2868.1144854427225,0.46022298152603297
US,2,19947.12615962464,94247.44018944664,5.14477928967392
US,3,22563.285486292367,96592.63856252134,5.6002343448751155
CN,1,4808.18772535036,7539.273648794892,2.4091565682163125
CN,2,5042.153886314376,8155.768919895091,2.420942665493687
CN,3,5327.870219068493,8513.092921001036,2.524506057339455
