Country,Lag,MAE,RMSE,MAPE
CA,1,453.5165251120091,640.4586220750125,1.9445943566372181
CA,2,437.9909651860694,619.9112927662903,1.8971419360936201
CA,3,428.25261137351015,609.7451629750279,1.8650921236274778
DE,1,1170.8482699627627,1620.742645384245,1.261114485077717
DE,2,1115.2143272852657,1585.6489922600686,1.2094054099999938
DE,3,1077.9000882866742,1559.9992826056714,1.1748830587227501
JP,1,4132.517136949655,5092.771823529047,2.9240808683150448
JP,2,4007.0701037179338,5026.217632425101,2.8432960089409978
JP,3,3913.129213561216,4891.049433299237,2.786891333640636
KR,1,1508.3162636929967,2393.092151314169,4.023050038145174
KR,2,1507.4571258889202,2380.3944945610333,4.006203945010296
KR,3,1497.2150565933223,2360.9592412968814,3.9616627225382026
CH,1,402.2107547965491,555.3860874777881,3.314353742735981
CH,2,370.2736636355871,538.0607319166825,3.1022403655783877
CH,3,357.57845064446406,531.6697225022315,3.0329214607691317
GB,1,1008.3905631012982,1631.0092718609271,2.161180246591599
GB,2,958.5048275949417,1581.987338534609,2.0718869859659064
GB,3,933.5255591493731,1552.447980836867,2.0369543330681985
US,1,2708.0931947073786,4492.411489336098,0.7216328299211213
US,2,2479.3211388576938,4309.5240174940545,0.6768961083904659
US,3,2440.012867222563,4293.845902640182,0.6682118739352892
CN,1,17150.289037088416,22753.891394782564,23.626962848357163
CN,2,17085.85924558086,22729.540582353588,23.626902134533797
CN,3,17034.537399130728,22718.354281629887,23.58914480701177
