Country,Lag,MAE,RMSE,MAPE
CA,1,547.1473905311415,771.4825789461568,2.121575171997005
CA,2,668.6623729459118,960.7983921653048,2.5668081187267666
CA,3,1142.2933907088207,2001.46143215737,4.301110952364112
DE,1,1234.8253732868664,1627.6926854123776,1.2731944615726174
DE,2,1541.4224671262891,2515.7827036554804,1.6310300431566216
DE,3,2366.4472014227026,4596.443470569128,2.4342469850685333
JP,1,4604.364051166271,5882.44706003502,3.082792126028697
JP,2,4541.73706735388,5514.9022372220315,3.031500664066942
JP,3,5102.040001465131,7252.783254620044,3.4200827250339696
KR,1,1386.3388321311056,1964.6740469875983,2.384424441384155
KR,2,1363.2845070864912,1917.7156483321278,2.319362667703171
KR,3,1349.3772950031905,2003.2771967602043,2.225502775804232
CH,1,339.90777621457903,404.14121714931326,2.1400083047815093
CH,2,349.7750871908271,416.61727646132107,2.2054074280303606
CH,3,363.8806516127762,429.7137349213442,2.366761863867911
GB,1,1310.4554258949133,1583.8233508863477,2.3341409007995275
GB,2,1344.2644860496619,1866.652158975505,2.378741217847433
GB,3,1537.7889873008096,2032.95022257329,2.782770203685635
US,1,5039.624911049293,8641.15686271504,1.3531185007061626
US,2,5647.053754385303,9238.27226062777,1.4887053253240303
US,3,6410.7278649425425,11478.402041208597,1.614355429837816
CN,1,18958.319783995794,25181.161882217544,14.824383488184308
CN,2,18126.001824101248,23538.239680783772,14.669809575416675
CN,3,18734.478909429785,24450.26026343471,14.81368604853234
