Country,Lag,MAE,RMSE,MAPE
CA,1,3986.3935048022063,5090.761697885493,26.560433292883758
CA,2,5069.391805822624,6103.452147329822,34.8677476053841
CA,3,3231.3347984949723,4373.11555269208,21.820920567010617
DE,1,13437.240845946297,16402.052601663796,18.876246796360096
DE,2,10165.6114407307,13672.530601433375,16.18690868418334
DE,3,8306.080752752518,10409.637493795683,12.357423959742487
JP,1,25053.334268375926,32202.914838199125,25.619243854799183
JP,2,23377.00011622087,32226.609996246378,25.27657118868997
JP,3,22021.635483644768,30448.639209368866,23.80712944048615
KR,1,23026.768252028967,28231.733065622906,75.70675799091813
KR,2,22047.364937308303,28868.08214436052,63.73431876343085
KR,3,20909.9644889489,27908.85365745772,62.69804174327742
CH,1,3231.9638596363206,4500.569576486377,27.268632035929365
CH,2,2979.0971837957804,4183.318714522599,25.642713916701954
CH,3,2952.8580313078346,4138.860103737309,25.10624755555657
GB,1,4721.303380724735,7300.05883193251,9.660716054301787
GB,2,4634.33181091116,6092.683551029138,12.590631588802392
GB,3,1917.266032214226,2748.118624416943,5.108643491575852
US,1,72320.32140864298,98078.74943028024,24.27814304113997
US,2,60522.75701549457,82939.65577118011,19.556530298334984
US,3,55536.50038118751,77889.08906053388,18.18370203394806
CN,1,108633.67838049601,141304.27846786715,198.72983437328827
CN,2,108478.4204198618,140994.98468716606,198.6021426514344
CN,3,108384.19188450825,140796.81413826422,198.57670038235952
