Country,Lag,MAE,RMSE,MAPE
CA,1,5843.393207651557,6419.958760110361,45.12099203868508
CA,2,7358.5761587317065,8128.7701719617025,59.21629601649694
CA,3,4404.161519077601,5143.006804940629,35.32525079765784
DE,1,17571.63884997416,18954.756416579232,26.84832409063793
DE,2,13961.80325996654,16961.98339825744,23.807783836400944
DE,3,9157.566064102199,11311.587114010006,15.085415479080092
JP,1,37557.926178270565,42161.35211527578,42.32508257297623
JP,2,37656.67539691337,43717.202253022,43.578416826861755
JP,3,35520.30426467769,41346.379735905386,41.086962036976374
KR,1,34074.837420514705,38609.380225344576,78.58837054310797
KR,2,32875.6546242287,40053.75046541797,65.65964345507184
KR,3,32495.36207578371,39236.9192470474,66.26530924924492
CH,1,3429.4339894263285,4551.698735904162,23.714994915529232
CH,2,3179.2647404719924,4141.2193565886555,22.211564326118214
CH,3,2948.9462638231726,3799.3289760488024,20.658380881504048
GB,1,2839.239927671554,3417.1505570624795,7.123958493571735
GB,2,2936.9063490888702,3386.9727051356826,8.811423803025994
GB,3,1460.4824555370064,1749.731512470008,4.116384687208674
US,1,114929.98154020587,128623.38968945314,41.50455187894211
US,2,89562.47297751116,106170.29922554459,31.39543834070919
US,3,80798.52764770544,97566.40282896221,28.868014289103805
CN,1,141761.62816264675,169495.2636068925,222.2735139707527
CN,2,141583.81244712914,169244.85977347725,222.12110034159082
CN,3,141502.9443915735,169112.62199225003,222.1002607608289
