Country,Lag,MAE,RMSE,MAPE
CA,1,794.2886296389091,1036.3504765088949,3.3873687614256363
CA,2,1426.7263550807127,1642.111705958835,6.224411574106424
CA,3,1339.1214577910214,1561.2273299991064,5.840303736931202
DE,1,2070.2318116483525,3013.319953277888,2.45428986139651
DE,2,2200.832642814028,3164.7067119349076,2.5778379073406725
DE,3,2460.3705935531852,3424.3922145746274,2.8388091206325075
JP,1,4457.4538716653005,6253.419058656225,3.209345464370695
JP,2,6061.067432358094,7763.656053058723,4.329731446362679
JP,3,6943.799583630142,8610.086229324233,4.91727562136828
KR,1,2182.022252401661,2771.681883882105,4.966733572022085
KR,2,2023.7040090528756,2677.1776618471963,4.528804814649341
KR,3,1839.996483606101,2316.523151256133,4.1424828677833565
CH,1,542.8167858526115,671.4000512151554,3.9540495843531343
CH,2,482.3661741460194,747.6282321525368,3.757655639776314
CH,3,427.69653830901257,688.7444591751583,3.1962618002106877
GB,1,2409.316989292136,4490.6043221571945,5.06504007975541
GB,2,2142.3606491046185,4262.612449391506,4.239653388276237
GB,3,2086.1169919637655,3951.583844514838,4.119516619062927
US,1,9803.487423158562,12458.096071343421,2.4051255470855772
US,2,6742.636034951164,8644.062124995053,1.767437380253673
US,3,8814.098766968955,10514.70567598429,2.2107985773948347
CN,1,11105.75192897436,19799.151000566966,6.67524116964299
CN,2,7473.360491981244,11833.82795381206,5.54203165220921
CN,3,7738.063207741728,12471.740567266654,5.585474320699892
