Country,Lag,MAE,RMSE,MAPE
CA,1,390.51434590486747,460.6354194909547,2.5109665948657454
CA,2,825.092270520827,937.5320112914454,4.807546979178896
CA,3,753.2519077790237,869.1248173173885,4.364062494090748
DE,1,2086.064794514551,2334.0786794282053,2.9110271207903144
DE,2,2073.6768369889305,2316.127865604243,2.9268597348896512
DE,3,2377.9338689008655,2558.4344032412446,3.3701588881221363
JP,1,3800.1112672565196,4971.565667178404,2.9245495013196168
JP,2,4437.079680735402,6300.244688554683,3.181647314944805
JP,3,5091.227000347486,7096.203206955603,3.626636055084321
KR,1,1512.479844310601,2132.0000348603107,2.7601224596545926
KR,2,1024.5230205338921,1299.4489104696645,3.2384418692566217
KR,3,822.215357491424,1170.961985374565,3.248509695988349
CH,1,815.2135220714626,942.5795251058044,7.731279679024242
CH,2,814.413717046119,844.8100342169995,8.058981983223104
CH,3,887.0226278657601,887.0892341238635,9.122692446338618
GB,1,1141.2557305372939,1279.2610300317888,2.8858794085767925
GB,2,1125.3965168400048,1440.2636207534854,2.601337503498188
GB,3,2925.3122176147126,5235.337257529938,5.245346981866004
US,1,7086.516109915996,8902.291651394287,2.163672722853273
US,2,6810.565660199769,8675.788335284988,1.972405243634837
US,3,10122.605455870686,11774.89471756032,2.9807563200437355
CN,1,20439.636894924894,26474.30045434376,7.017854670119965
CN,2,11631.957770301711,14054.281105179974,5.1434329787422595
CN,3,12375.434587190006,15007.245765277776,5.429156990284651
