Country,Lag,MAE,RMSE,MAPE
CA,1,1256.8679220373772,3052.114166263095,7.775495205257965
CA,2,1132.4227903714468,2720.6089212586908,6.881700947836605
CA,3,1193.4835500062984,2528.2798442163707,6.804871674264204
DE,1,3769.263649055238,6590.327507618602,4.52359302163595
DE,2,4105.37427873773,5637.311611079881,4.802550210701426
DE,3,4154.187005434989,5692.625551623246,4.774654311862388
JP,1,8771.833308892425,18555.382419073863,7.828184852179959
JP,2,8767.519192850477,18681.118602752354,7.844727963631787
JP,3,8700.968890406819,18357.05927340726,7.75856608041348
KR,1,10386.931093930598,13874.298075252324,23.842504548456976
KR,2,9121.772139440996,13213.808664938146,23.989720271683673
KR,3,8148.551686567688,11692.281928834786,19.43742547856653
CH,1,2546.8886618919378,2938.5046484584495,17.515121305599777
CH,2,1895.7080062433229,2551.3559147477454,14.555380027920005
CH,3,2135.830607183062,3336.3230426976093,18.561554952386082
GB,1,3428.6386241025684,4999.247081191035,6.058134378094892
GB,2,3145.5955116245973,4684.85641061494,5.4867274866744395
GB,3,4190.374146732071,5253.044124348406,7.60774910138871
US,1,39267.4260689711,60200.16033214896,9.456254301619015
US,2,28938.772602924262,46720.84475088321,6.875188274007177
US,3,27389.517284356993,41571.79566438055,6.424136382546883
CN,1,96430.10235195076,113078.14337698017,74.22624129869162
CN,2,81806.01510369088,97190.85973850414,69.86190297383192
CN,3,71180.39394027679,87647.20434494907,66.62513562197847
