Country,Lag,MAE,RMSE,MAPE
CA,1,116.88384573900476,319.0903751776624,0.512329911870041
CA,2,121.6207552440189,297.1892976074185,0.5352475686226705
CA,3,125.27393089992763,297.41538350832656,0.5466681047953451
DE,1,1300.9386445160994,1876.6909852475217,1.254625961020438
DE,2,1099.7278653871272,1722.4337930263446,1.0731321297295435
DE,3,978.3134714794962,1640.4658521994213,0.9689196813917096
JP,1,1086.7311038872879,2077.583213238011,0.7586123977055476
JP,2,951.6060241926641,2079.3981437540974,0.6727460941321503
JP,3,946.3077360585154,2095.160826625386,0.6728764447968197
KR,1,758.4444230064378,1406.3377924027918,1.498631947030407
KR,2,756.2877747909876,1411.4707956454727,1.479377868875077
KR,3,770.7225885196752,1416.8475085637563,1.4996569814049023
CH,1,325.24802859029484,511.76487654298296,2.189568601296423
CH,2,351.9459064343295,529.691482503249,2.3679129091883744
CH,3,300.32964962353316,490.2673276908697,1.9964602495750816
GB,1,369.2603680635162,1500.3879843868308,0.7360484180161255
GB,2,371.6855407049415,1501.0000198058322,0.7361377599749892
GB,3,380.3486150590743,1503.3521633113776,0.7510413561632164
US,1,3442.5780680328185,8211.706003795696,0.7946546918995054
US,2,3323.6384539124965,8098.270347274177,0.7307135577874322
US,3,3325.807445495424,8005.168617122946,0.732439075629039
CN,1,3330.0680110873072,7966.857561059896,2.371317375899047
CN,2,3851.5784947767747,8396.812312018625,2.447582912904541
CN,3,3994.4471168541127,8419.374282543498,2.492757191435988
