Country,Lag,MAE,RMSE,MAPE
CA,1,133.58839688659967,350.2331979017727,0.5269104350712405
CA,2,155.48499109802583,356.9144352853307,0.598137079025683
CA,3,171.1509728266328,366.69226902563213,0.6522036784735525
DE,1,996.6213988613349,1300.4148586325364,0.8801554470459355
DE,2,825.0137767525516,1103.8345109652546,0.7307502130230318
DE,3,685.7151016628109,962.3376889652776,0.6121048577660486
JP,1,837.2206709757029,1578.4956332457898,0.5462690547406396
JP,2,793.580740045965,1891.282652733773,0.5232553551405925
JP,3,801.929217411334,1850.6658285608453,0.5355469289785184
KR,1,1032.5345765478924,1782.315944015575,1.983401568172741
KR,2,1050.4193151957606,1789.1075817601482,2.016286187300959
KR,3,1078.7720716561848,1802.3721958802519,2.0574022660503686
CH,1,450.0385718794064,675.5637510616239,2.9156518002726393
CH,2,478.9946423286159,694.7336768765201,3.09815979787735
CH,3,411.4638160858674,647.3741279175596,2.692244734213893
GB,1,502.48731870366345,1908.4802613235665,0.7834148121265714
GB,2,513.5299561494583,1912.4653410669698,0.7957453608686549
GB,3,528.1669857892329,1917.1092753180214,0.812162136623398
US,1,2131.76618040611,4791.2334102211835,0.4489931266736871
US,2,1699.9024538620652,4779.651083976612,0.37707319275719064
US,3,1672.1399318499298,4712.642812514619,0.3730273558281678
CN,1,2511.269621748103,6742.901673071995,1.3246039105036984
CN,2,2779.0661977211553,6988.170956796144,1.5353498985637668
CN,3,3056.2566705354734,7097.487070262986,1.5615133362362013
