Country,Lag,MAE,RMSE,MAPE
CA,1,493.0419037583581,670.4056265716163,3.204542639072769
CA,2,626.0639789272948,813.5258146907113,3.948472861460586
CA,3,677.1633780655093,840.1149190771273,4.156802659898691
DE,1,2479.020073906453,2935.1426342333248,3.433938763408858
DE,2,2658.2077254435662,3282.774507639193,3.6701090384289383
DE,3,3581.4073267060085,4453.129074667134,5.073881986015298
JP,1,2860.112915359763,3991.931278306036,2.568869714900591
JP,2,3584.2225748280252,4667.848959756133,3.1826934860676315
JP,3,3420.3197390017267,4691.062813530197,3.089242386983305
KR,1,1803.9259444278334,2328.440879577136,5.2899143566424796
KR,2,1961.138785780712,3012.884066481064,4.460011266322821
KR,3,4474.948200743395,6240.60077826177,7.962404955059254
CH,1,1023.8487180683705,1210.9742508383165,9.639088382057713
CH,2,958.7561792226561,1141.0845211840062,9.008443442200694
CH,3,1021.8888898337964,1222.2721727026144,9.586651126309226
GB,1,1483.0964311134562,1860.9234601772241,3.2295458850416563
GB,2,1065.7780107235772,1317.729427052253,2.552284846892
GB,3,1327.988608973427,1477.1857637847559,3.0214421355763466
US,1,6460.869510232067,8683.791548401043,1.8648109176422658
US,2,7509.143754174587,8418.59087147285,2.2189045282306465
US,3,4987.264177508248,6801.609502081619,1.6322128214872313
CN,1,16658.69642229091,22452.965486707304,8.130262898476962
CN,2,21128.577771731427,25013.69433067099,7.414162772189591
CN,3,19457.543022405756,22676.68632905905,7.714786941574142
