Country,Lag,MAE,RMSE,MAPE
CA,1,223.058190435377,291.7979350749961,1.2016800833183656
CA,2,236.9601470005541,317.12879134762557,1.2460050257091448
CA,3,249.1501499971797,345.7865228281011,1.2855422587869512
DE,1,1111.9867756906924,1570.9794084888997,1.2263674954317954
DE,2,1265.950138129334,1920.3028904498506,1.3468213491658731
DE,3,1275.6078285456451,1806.863473700565,1.3657272025516998
JP,1,1627.1059689320011,2017.2134597291226,1.461189332614148
JP,2,1748.3091912745633,2174.9215654823415,1.5348489575535307
JP,3,1689.578808883591,2045.3191701403323,1.501063144702204
KR,1,1243.8185284323854,2132.82083058657,2.799489571209951
KR,2,1651.3653144831521,2945.1720066581506,3.2585274298074944
KR,3,1563.0667869989654,3507.847278364251,3.0463577582158696
CH,1,550.0080644702348,985.2312971043942,4.470022113915052
CH,2,547.9404126289162,963.1726420772827,4.435050090977719
CH,3,529.979416672576,1088.368739039812,4.246279711836709
GB,1,533.2954056329921,796.4217832538873,1.2243624957446542
GB,2,881.5959897579858,1654.6985593571014,1.7309936221960607
GB,3,666.5250778354523,1152.8948675335255,1.290026559545295
US,1,5999.245512690369,10200.815657268242,1.5913570561403516
US,2,6112.687212189942,10277.252863277174,1.613079996556168
US,3,5923.589402989998,11527.649809268874,1.5412919561651894
CN,1,6037.836686138323,9246.500025124915,3.561461944793523
CN,2,5894.976822972447,8758.749950335021,3.646028267838512
CN,3,6194.123453591925,9597.540924968125,3.4291421462772287
