Country,Lag,MAE,RMSE,MAPE
CA,1,379.3815019103232,442.26788619740887,2.468277788392714
CA,2,357.64178030580865,432.54177015415047,2.3860576625917087
CA,3,419.91963689245716,501.2065887390904,2.5979401269467575
DE,1,2317.3601315574488,3046.438017153662,3.115560671489771
DE,2,2438.642224692953,2974.570350267331,3.190527938013738
DE,3,1968.1080159462613,2518.9738526944816,2.755249850162332
JP,1,3179.9328301369023,3893.9663987927934,2.632023473088232
JP,2,3152.115787060924,4058.237142051377,2.6157610302780308
JP,3,3286.201375579897,4067.5200629211804,2.69696650201215
KR,1,3897.9059888809365,5180.194280941225,8.650489355270416
KR,2,4831.786373352879,6091.928170734777,9.53852152754433
KR,3,5805.210330298773,7513.419010477662,10.679535932400606
CH,1,523.681726601033,729.1566362846203,4.815708672329073
CH,2,546.1342647902966,701.623631295891,4.885248421782044
CH,3,733.395558632048,1001.7576095245486,6.523519844916459
GB,1,2763.8683376364565,5983.264819156174,5.457346135614417
GB,2,2390.8442766974044,4973.311618171865,4.841072858536345
GB,3,1239.8141229113176,1757.6073606145742,3.0137276565199325
US,1,9324.317219363073,12766.464920857388,2.5674290159678597
US,2,8933.326224183671,12252.099310327474,2.4946972641169496
US,3,8892.944537899502,11839.036890463834,2.4912091481376266
CN,1,10769.981283139907,17544.604062374143,8.085621777707129
CN,2,13015.322384195484,20345.54647114577,8.662962763758069
CN,3,8949.602024486225,14050.496517560096,7.597915557336517
