Country,Lag,MAE,RMSE,MAPE
CA,1,254.86030730432608,342.63155780490933,1.1964642057929382
CA,2,268.2832182598243,360.9001258423352,1.2581767899634497
CA,3,293.9627503335584,403.4375114830131,1.3831754965908571
DE,1,1019.0170868120939,1308.8040922822054,1.2290450998557103
DE,2,1052.1560171412566,1394.003181663653,1.264170236434897
DE,3,1065.0667645592328,1368.0291294287308,1.2627711910339254
JP,1,1594.5063718772324,1920.5058875256482,1.2956078843459673
JP,2,1783.7794568073775,2124.646102185051,1.4219393193817256
JP,3,2059.4452553860974,2393.7039419374355,1.6222087444856235
KR,1,1282.382720751233,1877.0938163867993,2.601807685626917
KR,2,1184.42475304881,1706.3457999854256,2.486284942003186
KR,3,1371.2374646093429,2017.6432678166639,2.6134809910424006
CH,1,363.6873457484742,526.1356278521404,2.8580790818101156
CH,2,390.7074174266054,527.3572793256855,2.9362812660639297
CH,3,400.0843791700904,542.1095595287679,3.1383447728196305
GB,1,1015.6312486712778,1831.7059302528096,2.020937444352169
GB,2,1037.9197912415352,1838.1806561536266,2.01777523490988
GB,3,977.3436967934207,1700.6657234946958,1.78097697499435
US,1,4741.070761718258,7840.027171381272,1.0974783446132441
US,2,3781.7302033100063,7370.677809533766,0.9088087472079988
US,3,5099.522935070679,8574.301746201341,1.2267787994194028
CN,1,6898.161688525564,11426.104834455666,3.908223888098021
CN,2,6677.29571950621,11345.524994936399,3.7073184391243434
CN,3,7674.904634118118,13483.128157477868,3.858086394305117
