Country,Lag,MAE,RMSE,MAPE
CA,1,40.833533424856945,120.95362282783526,0.21366487304614912
CA,2,40.97045334706993,123.96724906331096,0.20648299607111087
CA,3,39.7874439226622,110.00220283618563,0.2057066563149056
DE,1,216.76960030760404,566.1191843457984,0.2566149113531764
DE,2,240.61362845601656,569.4540906521307,0.27908866715932223
DE,3,244.11330048748255,559.617624074385,0.2848980646816132
JP,1,311.3410786858854,826.1499235384224,0.23185392713249378
JP,2,349.05997211245483,899.1102481793629,0.26634540788420147
JP,3,368.28464159289774,919.5128441633335,0.28592313389939705
KR,1,157.20084971357187,515.6608505061994,0.3597786676190871
KR,2,195.43182132480473,546.6750835577654,0.41245093159752294
KR,3,221.75422771524447,567.9621699501826,0.45855995573743724
CH,1,45.535108939450126,137.14043745281307,0.38011135491528936
CH,2,57.12333752540101,143.72654292019567,0.4658598058361487
CH,3,67.97058875138579,157.94744292871084,0.5428936088244556
GB,1,98.99689782914155,525.9722365840596,0.212859700135882
GB,2,116.23457848917553,498.82667239551654,0.24327100866827098
GB,3,132.51630145829034,550.6164064178699,0.2691933074394981
US,1,894.123425153949,2488.028109338206,0.22245354539857787
US,2,1002.4561420300671,2533.551052981962,0.23894155912601278
US,3,1008.3099457509592,2547.991998590906,0.2371991318334662
CN,1,778.6071611992433,2429.1361637165073,0.6597556673826346
CN,2,970.7144175632263,2651.166842332195,0.7171732846487849
CN,3,1100.8727740114218,2787.7035152552835,0.8156301390145719
