Country,Lag,MAE,RMSE,MAPE
CA,1,37.861861150693485,110.98151321315267,0.17980641254227148
CA,2,41.84739654289922,123.65190741526577,0.19799799109561056
CA,3,40.67056305622962,119.56568645867395,0.19233367664972556
DE,1,179.61578496067747,476.7416355826984,0.20689478545758652
DE,2,216.58804626430202,517.3016255337487,0.2515496031391632
DE,3,251.04905776444045,599.9540271512749,0.2985169038304614
JP,1,317.2579183763359,820.032875397288,0.2440922762349616
JP,2,326.9264847906985,824.072158297158,0.2457388053654257
JP,3,339.5733383311942,840.5155958320127,0.2558605484301554
KR,1,134.84613125236666,445.3292553761137,0.28489316188302405
KR,2,186.18741529722013,494.6790427185699,0.3949585270361732
KR,3,198.3535333242003,499.48515956058264,0.3981218522611232
CH,1,33.97652797217467,93.71368078220169,0.28276166593919705
CH,2,43.12053201297855,111.20177160025248,0.3405696171066374
CH,3,55.753159944928726,129.8576861159813,0.43823029585157913
GB,1,95.62725510116472,455.84680706760867,0.20973748589508215
GB,2,107.92688358467126,438.60386407702646,0.2259095837997926
GB,3,122.95622007104814,509.2185020887494,0.25349535520900823
US,1,765.409097166958,2205.466078922251,0.1880279241173903
US,2,856.313230693071,2239.578229677944,0.2023466636783025
US,3,1027.6216702925094,2473.71582207502,0.24462760944992112
CN,1,615.1752526735809,1996.9175248333008,0.44196434712391
CN,2,798.1613099034527,2225.3238740824027,0.5261467707669861
CN,3,855.5516897460651,2213.6505591768378,0.5695176882718922
