Country,Lag,MAE,RMSE,MAPE
CA,1,98.9618346292606,293.5336517580775,0.41433927854787284
CA,2,109.3154332729485,315.58495678723455,0.4352708352441428
CA,3,97.02601949874733,293.7851321309171,0.36380481223079036
DE,1,162.73218857018432,378.50256715718587,0.16288741404330073
DE,2,228.48974583797585,490.91447114078807,0.23767136714757625
DE,3,220.1456437976884,473.76040262160484,0.21130918676225513
JP,1,604.3171782454068,1694.2273987136423,0.42744765992535516
JP,2,723.8886390673321,1756.3824024253124,0.5025355230981317
JP,3,645.8859560638199,1600.5536868054237,0.41675202476539713
KR,1,469.4410537986161,1293.4525865133198,0.9436571315762379
KR,2,622.6347177598702,1393.269417280915,1.2688257590027594
KR,3,694.9434443609787,1440.933671490828,1.3871361965348472
CH,1,212.57620984250866,541.9582481763938,1.641404729998408
CH,2,205.10386998747583,482.49732962983967,1.5698121111030532
CH,3,246.7477353210603,543.7740234269696,1.8978142275218843
GB,1,383.1475361130008,1878.1423232063091,0.6506940484311449
GB,2,376.8176720336975,1762.2435135604492,0.6524390631128818
GB,3,425.194029046926,1872.1551395794895,0.7183476716420372
US,1,1477.3622819804168,4237.54225963187,0.32559596980350214
US,2,1780.468141159523,4557.061885962236,0.38913825585853257
US,3,1774.3214853729435,4582.460177488794,0.39374474079049876
CN,1,1063.2878167227348,4073.778873862577,0.40301919905027594
CN,2,1491.4675933401227,5032.546021493074,0.5996799110372324
CN,3,1735.212014526961,5307.444311150311,0.7596546830095493
