Country,Lag,MAE,RMSE,MAPE
AU,1,766.029732808724,975.3747599888634,4.003896502070211
AU,2,1224.1846136511153,1271.1801751293442,8.036921649888944
AU,3,1207.272708285891,1287.763262262547,7.695414419754798
AT,1,210.7372566977955,264.13163892873496,3.7379358147735764
AT,2,242.67895716069734,301.84265857827586,4.04710104956313
AT,3,222.31899977520567,260.3947011267439,3.7189943176939666
BE,1,294.61755681272945,478.93006007790973,2.1527211657948375
BE,2,360.90676005586,600.0674467941384,2.436629831406164
BE,3,460.7170205352555,633.8904800892112,3.5435854693975712
CA,1,1146.9495856766875,1401.6562494456296,6.9238819399465985
CA,2,972.0172263746497,1203.8799576513347,5.640812039062189
CA,3,984.3918068230707,1222.5437546927928,5.7783845029888
CZ,1,363.4809405266261,487.2877683119221,4.898604529366947
CZ,2,385.2647196195924,494.7384933741853,5.555084124008548
CZ,3,418.09133038373955,524.3674315535152,6.355609750656469
DK,1,117.32242917278705,128.18181709969312,2.48487987099547
DK,2,101.66704308726804,143.06484265136677,1.7360550564931485
DK,3,94.86605908741183,144.7215672675725,1.5537787767085227
FI,1,203.5293494511293,268.8297678922933,3.967772077384066
FI,2,212.07999888555014,292.04065613915435,3.7696390549448324
FI,3,238.97549489092233,303.70143552451367,4.503142151614021
FR,1,775.9843531286378,1177.7948085898752,1.6753486473871773
FR,2,864.5379011462173,1148.5881379529187,1.9103207402277138
FR,3,888.7721980050583,1121.970583702612,1.9817006860448654
DE,1,2944.633845250415,3467.0311985474964,3.9904677330442277
DE,2,2726.9919365338155,3228.3817980765525,3.6726150018972366
DE,3,2681.944192044106,3363.3662585041525,3.7956608798243447
GR,1,241.09985302671984,302.6701117561295,19.56441466010246
GR,2,158.0616353790528,184.69651454055378,11.812053440978868
GR,3,183.40164295056198,196.24759021085822,12.518872437173446
HU,1,163.7348861918397,208.36935386751279,6.749442691542846
HU,2,198.89791643917317,265.3652598311356,7.5340922885706245
HU,3,246.259119315009,348.56276414573745,8.30699328863936
IS,1,25.988115582968522,45.095078806614296,8.95476804092489
IS,2,29.616679842455195,45.018783036618245,12.054296268346386
IS,3,28.6980232652249,46.08356954977985,11.07865411571103
IE,1,94.7194988650336,107.8436191774446,3.2985075417950247
IE,2,109.6247401421657,123.30379519056717,4.875882207235411
IE,3,142.9891643021754,153.16577695227028,5.9980885734219545
IT,1,1130.3176320539537,1279.4508201363153,5.347947527532682
IT,2,1244.3181986189302,1379.4554436437375,5.88042753039029
IT,3,1292.6720125529914,1371.3901518993341,5.993891551609879
JP,1,5062.62375161509,6148.2426232051075,4.558082697983942
JP,2,4198.66653969694,5118.884332841639,3.748298285981427
JP,3,4566.471720321722,5360.185631016078,3.9962543669771184
KR,1,3532.7256032718055,4667.080217421885,7.905682163955591
KR,2,3716.159894076956,4563.173717016909,8.34181279558547
KR,3,3385.669684124046,4126.826310569194,7.213012091243138
LU,1,45.71136303206592,45.96787162357079,6.087539822015471
LU,2,45.85764807249339,46.169846676554684,6.067208190724947
LU,3,58.161289918207615,59.37971597181394,7.831005022929751
