Country,Lag,MAE,RMSE,MAPE
CA,1,12.467547895240745,21.489140034081,0.05465800807380182
CA,2,13.67762835298014,23.033074705122814,0.06168353912114191
CA,3,17.231323700670945,27.223517516719472,0.07894235029307552
DE,1,43.83258438099392,84.43449085353946,0.04926950362708496
DE,2,36.67057620691912,79.91922196641652,0.04072347939565669
DE,3,38.310253044794536,81.52759535126337,0.04304717040221334
JP,1,44.670786786710096,65.67747512258022,0.031167146196244857
JP,2,42.22725219833433,64.49906917086487,0.029598320426565718
JP,3,48.13406013008375,76.93885227374165,0.03422596410868735
KR,1,37.02609064745108,120.68608466774327,0.04620880497261566
KR,2,36.124264475479016,120.59704463807823,0.04488348900714709
KR,3,35.62390230425444,120.46151677723587,0.04406658484183708
CH,1,11.737212815992006,28.083640804427098,0.0688081464007796
CH,2,11.737212815992006,28.083640804427098,0.0688081464007796
CH,3,11.737212815992006,28.083640804427098,0.0688081464007796
GB,1,25.564407658589577,38.09995718462196,0.061538505383416424
GB,2,24.368884170469634,37.13793380139798,0.05839243341835392
GB,3,22.65153277929615,35.80743293552466,0.055394572854804904
US,1,244.28261495406514,694.1227008454297,0.05017070914965792
US,2,232.76793264468688,690.4905430593031,0.04725022663565532
US,3,206.84189228124887,683.4964945837158,0.039096487602747886
CN,1,165.1323595872619,508.64713414525283,0.044473122266411674
CN,2,165.1323595872619,508.64713414525283,0.044473122266411674
CN,3,164.02718998469265,508.5611535060418,0.04381756909713254
