Country,Lag,MAE,RMSE,MAPE
CA,1,703.2508707673999,835.8369738718199,4.198665474797609
CA,2,706.1634684236499,833.082636231997,4.2095630501086205
CA,3,709.1753092439624,833.8443306105394,4.2207011580336165
DE,1,3966.7837605368877,4333.678253957051,5.372177487084558
DE,2,4012.5703816306377,4377.436509504285,5.451297996414825
DE,3,3980.9121785056377,4351.507059799167,5.41159029851969
JP,1,4699.734625152001,5593.124672854437,3.968821999644983
JP,2,4846.997320464501,5660.8143646268,4.055727557944104
JP,3,4639.359625152001,5540.62052932499,3.916682938449793
KR,1,6492.708003197866,8034.376084808959,12.93117876242178
KR,2,6231.637683612599,7919.251448220351,12.161911087494127
KR,3,6195.948556008432,7901.866475784407,12.083152554953228
CH,1,1050.6508654057052,1335.4360423398434,9.674232167014331
CH,2,1050.6508654057052,1335.4360423398434,9.674232167014331
CH,3,1050.6508654057052,1335.4360423398434,9.674232167014331
GB,1,1697.945836657929,2118.671888717706,3.824066759592657
GB,2,1659.8671536222148,2043.1728135014766,3.837377650412067
GB,3,1713.3601781757861,2027.189372444667,3.939908541609157
US,1,13124.256402351755,16051.041857777855,3.990969964791327
US,2,13118.119683601755,16071.277749042301,3.99053857994374
US,3,13038.389214851755,15871.316524661279,3.944158721381584
CN,1,28359.91312764897,30645.133665813115,13.992868596068025
CN,2,28359.91312764897,30645.133665813115,13.992868596068025
CN,3,28359.91312764897,30645.133665813115,13.992868596068025
