Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model
CA,1,1403.761727777574,1862.1339984552717,6.157867984295944,ElasticNet,MGT
CA,2,1447.0238455835065,1929.7811456463564,6.298182648586101,ElasticNet,MGT
CA,3,1435.959545237131,1950.3755063923331,6.254297341198588,ElasticNet,MGT
DE,1,6196.935663542889,8596.10445312533,7.141272669105176,ElasticNet,MGT
DE,2,4969.7661109412875,7344.157649024733,5.726663263049353,ElasticNet,MGT
DE,3,4777.318850995808,6910.90323604826,5.449290190288436,ElasticNet,MGT
JP,1,7855.5864038832415,13623.243584807644,6.450997626146683,ElasticNet,MGT
JP,2,7823.113872961584,13333.032840346425,6.353508457583275,ElasticNet,MGT
JP,3,7990.5062841657345,13211.70866023618,6.421545111368861,ElasticNet,MGT
KR,1,11888.362347761127,14399.272918164264,25.37288830104414,ElasticNet,MGT
KR,2,9872.205926399378,12557.400167033957,21.700809600925247,ElasticNet,MGT
KR,3,9143.580805222797,11899.148197564104,20.18301311766671,ElasticNet,MGT
CH,1,929.6622957034734,1107.609024763179,6.228927153165801,ElasticNet,MGT
CH,2,962.8058181200332,1154.6906841208188,6.5077615914477445,ElasticNet,MGT
CH,3,1006.5856012457454,1183.1656700892,6.87806902348031,ElasticNet,MGT
GB,1,6053.744775496012,6966.52720868186,10.498835865796648,ElasticNet,MGT
GB,2,5205.823828918767,6042.450522626668,9.002999743447708,ElasticNet,MGT
GB,3,4831.336494121985,5709.912300879317,8.322017326046826,ElasticNet,MGT
US,1,50543.08067488932,74284.57155260636,11.750568175124696,ElasticNet,MGT
US,2,45478.623643497565,64608.26304674556,10.420326598970403,ElasticNet,MGT
US,3,42331.49224633532,59830.37992760987,9.582008864880846,ElasticNet,MGT
CN,1,95390.70207954568,108967.03993732246,77.75914910782092,ElasticNet,MGT
CN,2,85800.45607480702,99197.48367162976,72.55300811644165,ElasticNet,MGT
CN,3,79018.99010344103,92882.84164166616,68.7157118526337,ElasticNet,MGT
CA,1,2974.190894155383,3221.191017812414,23.11070049881684,ElasticNet,AGT
CA,2,2828.1676638645276,3135.485728072457,22.358362760023535,ElasticNet,AGT
CA,3,2733.7388167685335,3104.211817537456,21.950668026044053,ElasticNet,AGT
DE,1,10551.787598266455,11944.352081503885,16.074105805426914,ElasticNet,AGT
DE,2,8556.864188689586,10339.622902111523,13.544206845334685,ElasticNet,AGT
DE,3,7043.523843447305,9275.698438135714,11.846348297892265,ElasticNet,AGT
JP,1,26311.48503241869,30179.201635980255,29.467141258312644,ElasticNet,AGT
JP,2,25063.631308655924,29211.03615858664,28.276708852216576,ElasticNet,AGT
JP,3,24061.951889711818,28552.60634602929,27.395617483775354,ElasticNet,AGT
KR,1,27163.93545570838,29166.414419342236,69.93141837406735,ElasticNet,AGT
KR,2,26039.809588166467,28226.627046368223,66.27597079271268,ElasticNet,AGT
KR,3,25007.759706512177,27452.640621493178,62.68732758228204,ElasticNet,AGT
CH,1,1149.9998047795132,1274.496883959942,9.181027520984475,ElasticNet,AGT
CH,2,1021.3277333592748,1246.7669188777415,7.801953861532891,ElasticNet,AGT
CH,3,245.49523155483803,333.08195552935956,2.7154912689946005,ElasticNet,AGT
GB,1,2431.026347796411,3330.5652700111973,5.898067911002022,ElasticNet,AGT
GB,2,1835.216599209256,2518.0012842194365,4.450272284297572,ElasticNet,AGT
GB,3,1092.3350947411527,1396.6383942318937,3.0395525946497735,ElasticNet,AGT
US,1,103221.540229684,116649.7512544658,35.84267312489541,ElasticNet,AGT
US,2,85215.15434094377,99405.81293976332,30.21582048666536,ElasticNet,AGT
US,3,73880.79149951373,88399.6175048478,27.023187345838835,ElasticNet,AGT
CN,1,143750.20795314532,153010.90535074804,290.4348376775081,ElasticNet,AGT
CN,2,141758.4517431446,150850.2682402013,286.8094128676109,ElasticNet,AGT
CN,3,140775.9172508789,149818.00619232026,284.7992663104005,ElasticNet,AGT
CA,1,161.1129505480175,351.7356774151568,0.6294933262865715,ElasticNet,MGTwRD
CA,2,161.13571707740368,351.7599416235177,0.6295737887733155,ElasticNet,MGTwRD
CA,3,160.98800756695812,351.4657123343359,0.6289907710664906,ElasticNet,MGTwRD
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471,ElasticNet,MGTwRD
DE,2,489.58936475870496,759.7741775096479,0.5293226454220156,ElasticNet,MGTwRD
DE,3,490.2975629967934,760.3391546362865,0.5301037598869786,ElasticNet,MGTwRD
JP,1,706.9216143088739,1437.5971886200205,0.4626562212738823,ElasticNet,MGTwRD
JP,2,707.2577526335048,1437.5006382154004,0.4627922841465361,ElasticNet,MGTwRD
JP,3,707.634338855905,1437.393929052752,0.4629447196157098,ElasticNet,MGTwRD
KR,1,825.260677563191,1629.944618954259,1.6448315253714147,ElasticNet,MGTwRD
KR,2,882.0928382997678,1629.735550365271,1.6929478628402594,ElasticNet,MGTwRD
KR,3,909.742289820909,1631.1296576925467,1.722032319058839,ElasticNet,MGTwRD
CH,1,256.8625463991216,528.8980063537019,1.9009690703989188,ElasticNet,MGTwRD
CH,2,254.0389758068269,531.0226021042021,1.8899787220038136,ElasticNet,MGTwRD
CH,3,262.0609763163443,535.6516028060305,1.9622215021356089,ElasticNet,MGTwRD
GB,1,519.4688165856502,1884.058257386234,0.9499277276536224,ElasticNet,MGTwRD
