,date,Country,Businesses_R&D expenditure,Businesses_product development,Consulting Firms_innovation management,Consulting Firms_innovation strategy,Government agencies_government grants,Government agencies_research funding,Innovation Hubs_startup incubation,Innovation Hubs_technology park,Patent Attorneys_patent attorney,Patent Attorneys_patent registration,R&D Employees_R&D jobs,Research Institutions_collaboration with industry,Research Institutions_research grant,Tax Authorities_R&D tax credit,VCs_VC investment,VCs_startup funding,Year,Month,Businesses_R&D expenditure_mean_YTD,Businesses_product development_mean_YTD,Consulting Firms_innovation management_mean_YTD,Consulting Firms_innovation strategy_mean_YTD,Government agencies_government grants_mean_YTD,Government agencies_research funding_mean_YTD,Innovation Hubs_startup incubation_mean_YTD,Innovation Hubs_technology park_mean_YTD,Patent Attorneys_patent attorney_mean_YTD,Patent Attorneys_patent registration_mean_YTD,R&D Employees_R&D jobs_mean_YTD,Research Institutions_collaboration with industry_mean_YTD,Research Institutions_research grant_mean_YTD,Tax Authorities_R&D tax credit_mean_YTD,VCs_VC investment_mean_YTD,VCs_startup funding_mean_YTD
0,2004-01-01,CA,,0.0,,,51.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2004,1,,,,,,,,,,,,,,,,
1,2004-01-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2004,1,,,,,,,,,,,,,,,,
2,2004-01-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,1,,,,,,,,,,,,,,,,
3,2004-01-01,DE,,0.0,57.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,100.0,,0.0,0.0,2004,1,,,,,,,,,,,,,,,,
4,2004-01-01,GB,0.0,100.0,0.0,0.0,51.0,0.0,,68.0,0.0,0.0,,,53.0,0.0,0.0,0.0,2004,1,,,,,,,,,,,,,,,,
5,2004-01-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,100.0,,,0.0,2004,1,,,,,,,,,,,,,,,,
6,2004-01-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,1,,,,,,,,,,,,,,,,
7,2004-01-01,US,0.0,100.0,0.0,26.0,58.0,59.0,0.0,74.0,99.0,42.0,0.0,0.0,100.0,100.0,0.0,0.0,2004,1,,,,,,,,,,,,,,,,
15,2004-02-01,US,0.0,89.0,0.0,24.0,47.0,75.0,0.0,77.0,94.0,46.0,0.0,0.0,94.0,59.0,0.0,0.0,2004,2,0.0,100.0,0.0,26.0,58.0,59.0,0.0,74.0,99.0,42.0,0.0,0.0,100.0,100.0,0.0,0.0
14,2004-02-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,73.0,0.0,0.0,0.0,2004,2,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0
12,2004-02-01,GB,0.0,54.0,0.0,0.0,78.0,0.0,,46.0,41.0,0.0,,,94.0,0.0,0.0,0.0,2004,2,0.0,100.0,0.0,0.0,51.0,0.0,,68.0,0.0,0.0,,,53.0,0.0,0.0,0.0
13,2004-02-01,JP,,0.0,0.0,56.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2004,2,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,100.0,,,0.0
10,2004-02-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,2,,0.0,0.0,0.0,,,,,,,,,,,,
9,2004-02-01,CH,,73.0,,0.0,,,,,0.0,,,,0.0,,,,2004,2,,0.0,,0.0,,,,,0.0,,,,0.0,,,
8,2004-02-01,CA,,0.0,,,63.0,0.0,,0.0,0.0,100.0,100.0,,,0.0,0.0,100.0,2004,2,,0.0,,,51.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
11,2004-02-01,DE,,0.0,33.0,65.0,0.0,100.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2004,2,,0.0,57.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,100.0,,0.0,0.0
16,2004-03-01,CA,,0.0,,,47.0,0.0,,63.0,0.0,49.0,0.0,,,0.0,0.0,61.0,2004,3,,0.0,,,57.0,0.0,,0.0,0.0,50.0,50.0,,,0.0,0.0,50.0
17,2004-03-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2004,3,,36.5,,0.0,,,,,0.0,,,,0.0,,,
18,2004-03-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,3,,0.0,0.0,0.0,,,,,,,,,,,,
19,2004-03-01,DE,,0.0,51.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,29.0,,0.0,0.0,2004,3,,0.0,45.0,32.5,0.0,50.0,,0.0,0.0,,0.0,,50.0,,0.0,0.0
20,2004-03-01,GB,0.0,79.0,0.0,0.0,73.0,0.0,,100.0,95.0,0.0,,,100.0,0.0,0.0,0.0,2004,3,0.0,77.0,0.0,0.0,64.5,0.0,,57.0,20.5,0.0,,,73.5,0.0,0.0,0.0
21,2004-03-01,JP,,0.0,0.0,100.0,,0.0,,0.0,100.0,,,,0.0,,,0.0,2004,3,,0.0,0.0,28.0,,0.0,,0.0,0.0,,,,50.0,,,0.0
22,2004-03-01,KR,,0.0,,0.0,,100.0,,0.0,,0.0,,,0.0,0.0,37.0,0.0,2004,3,,0.0,,0.0,,0.0,,0.0,,0.0,,,36.5,0.0,0.0,0.0
23,2004-03-01,US,0.0,80.0,0.0,0.0,49.0,83.0,0.0,73.0,51.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,2004,3,0.0,94.5,0.0,25.0,52.5,67.0,0.0,75.5,96.5,44.0,0.0,0.0,97.0,79.5,0.0,0.0
30,2004-04-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,4,,0.0,,0.0,,33.333333333333336,,0.0,,0.0,,,24.333333333333332,0.0,12.333333333333334,0.0
31,2004-04-01,US,0.0,98.0,0.0,37.0,51.0,81.0,0.0,91.0,82.0,67.0,53.0,0.0,72.0,50.0,0.0,0.0,2004,4,0.0,89.66666666666667,0.0,16.666666666666668,51.333333333333336,72.33333333333333,0.0,74.66666666666667,81.33333333333333,29.333333333333332,0.0,0.0,95.0,53.0,0.0,0.0
28,2004-04-01,GB,0.0,64.0,0.0,0.0,66.0,0.0,,51.0,34.0,0.0,,,83.0,0.0,0.0,0.0,2004,4,0.0,77.66666666666667,0.0,0.0,67.33333333333333,0.0,,71.33333333333333,45.333333333333336,0.0,,,82.33333333333333,0.0,0.0,0.0
