Country,Lag,MAE,RMSE,MAPE
CA,1,2501.9331879738957,3713.685698583668,16.70847085545742
CA,2,2461.984952576551,3709.4848878651856,16.564026172893005
CA,3,2440.2507483312447,3708.264134013154,16.485885670439735
DE,1,6167.7587265217535,8666.174104297357,9.411363925259641
DE,2,5851.780365616195,8608.12814567269,9.111994790783722
DE,3,5792.888337245236,8602.850574936638,9.054386984189593
JP,1,14969.666116308574,20398.6203577126,15.46062354049792
JP,2,14312.405709801913,20196.913195372752,15.0302291180469
JP,3,13971.139146918958,20094.04178271728,14.807151702320475
KR,1,7951.221176725102,10490.052616470892,27.75936436063447
KR,2,6159.133390739759,8259.64072120182,22.88805259964953
KR,3,5129.286014233149,7101.294773655962,20.28768180313948
CH,1,1651.8044375276556,2100.4233293362836,17.463642484166925
CH,2,737.3057518637733,993.412753316012,10.307160068215286
CH,3,731.9419205705098,993.8242112419829,10.276885144557331
GB,1,2019.930978542839,2540.754407029217,5.242287940584303
GB,2,2119.917296271332,2730.5674756087055,5.437053389675534
GB,3,2036.290579937065,2640.2674348117657,5.250770937069356
US,1,40128.95229084579,52751.32390087988,13.98890354065908
US,2,38343.739886970696,51291.64638158776,13.617586816096274
US,3,37120.440584447715,50612.771800840594,13.366107680644996
CN,1,50293.96519048354,60816.18058939339,101.20683287971019
CN,2,47564.68461956079,57899.6333499332,91.51061177347172
CN,3,42102.63129459262,53016.9090509724,81.3459586927367
