Country,Lag,MAE,RMSE,MAPE
CA,1,2885.9704401480326,3466.582399834136,24.558191282959655
CA,2,2808.023438367216,3451.704831652626,24.28913627778132
CA,3,2772.837175348288,3445.496273641836,24.160076528441436
DE,1,5919.667922218234,8014.756284866848,9.972145751738989
DE,2,5831.564319820776,7951.084131997956,9.870198520698816
DE,3,5667.453128220564,7880.380272169234,9.698716738048214
JP,1,13738.838924856136,21801.314755582862,18.423800514444416
JP,2,14012.499290195363,21678.970477163974,18.476673683984867
JP,3,13932.954214182182,21591.523958288217,18.379956353385623
KR,1,12052.00386830026,14714.040014963031,24.362061604276505
KR,2,9140.00560731554,11076.256911371154,18.510376069561346
KR,3,7526.420740434386,9170.25144773418,15.30108841942955
CH,1,1811.0742563393862,2132.011878859127,13.846038064075525
CH,2,1532.439837064522,1896.8930944566087,13.416293431329693
CH,3,1439.9122270931214,1861.1797086460995,12.861548019165737
GB,1,2163.359833889911,3525.9554546738564,4.851287883487908
GB,2,1861.0999328003845,3006.5129734778484,4.277765536507814
GB,3,1812.5454969878456,2923.410340698407,4.184708729446955
US,1,46115.39258544443,54328.80612413441,18.139636192615903
US,2,43175.070359883975,51209.120469675545,17.540677548833372
US,3,40790.87654126297,49480.53431749751,17.089875044533816
CN,1,44193.94693302462,49398.623649564965,93.90200369649135
CN,2,34526.41904768338,44331.968461587276,80.57273556805656
CN,3,33303.7665906945,46573.896813072264,71.07087366253904
