Country,Lag,MAE,RMSE,MAPE
CA,1,161.11295054801806,351.73567741515666,0.6294933262865736
CA,2,161.1357170774042,351.759941623518,0.6295737887733173
CA,3,160.27529197700198,350.334985800812,0.6262737293750354
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471
DE,2,489.58935072389477,759.7741651325679,0.5293226292436128
DE,3,490.2975575484538,760.3391498256401,0.5301037536070158
JP,1,706.9216143088739,1437.5971886200205,0.4626562212738823
JP,2,707.2577526335048,1437.5006382154004,0.4627922841465361
JP,3,707.634338855905,1437.3939290527521,0.4629447196157098
KR,1,825.260677563191,1629.9446189542593,1.6448315253714147
KR,2,882.0928382997678,1629.7355503652707,1.6929478628402594
KR,3,909.742289820909,1631.1296576925467,1.722032319058839
CH,1,255.94759808656454,529.3360852830906,1.8955399130540558
CH,2,254.03890131354024,531.0227397143684,1.8899787820771312
CH,3,262.0634920105815,535.652099284433,1.9622399072584598
GB,1,519.468816585646,1884.0582573862314,0.9499277276536134
GB,2,521.3324226925139,1882.2888861681506,0.9608059679772426
GB,3,527.2271567531589,1882.022468763,0.9701124078167771
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091
US,2,3022.928376340511,4479.899961996363,0.6619339664326669
US,3,3023.8613599207915,4480.1928355462305,0.6621375941772155
CN,1,3746.5237983359043,6729.531794456125,2.020290253370022
CN,2,4136.759104096807,6788.052238384626,2.1135375518274424
CN,3,4159.486570341231,6807.715311299221,2.176483500060642
