Country,Lag,MAE,RMSE,MAPE
CA,1,488.10955444950116,1413.6510656407595,2.9696125459968004
CA,2,462.92744440430346,1410.7138484412167,2.876089958128711
CA,3,454.7400129575959,1409.282544673092,2.8474732847460813
DE,1,1750.4981764687138,3359.8512236595643,2.1792418414414008
DE,2,1553.4437731599317,3211.0577023361893,1.993864120251167
DE,3,1491.3308199705398,3164.328203008254,1.9363328961376172
JP,1,4954.176851137433,8737.247726975238,4.168111160991941
JP,2,4391.931595750723,8366.120896588547,3.8079557828298825
JP,3,4120.053448780382,8219.631432428387,3.636988145177942
KR,1,5059.802073752445,7370.966889803462,13.269344600343763
KR,2,3930.6324839899735,5662.906292494854,9.967133203564295
KR,3,3450.498636882529,4906.992113469803,8.57626367821499
CH,1,207.47766408731803,574.155583388923,2.4023173675957685
CH,2,215.0497438248728,575.4207335689259,2.45937218934559
CH,3,216.94123226235627,575.6743199489332,2.4738979711105666
GB,1,1276.7343524934213,1997.678303242796,2.611565237336366
GB,2,1062.466843393468,1764.9678588282422,2.1939276462552155
GB,3,993.3999063039585,1684.6740075969053,2.056655580219994
US,1,13547.39092845699,21995.16748655971,3.434226473199663
US,2,10721.185832846732,19623.32493866482,2.880218471501002
US,3,9690.51402985309,18825.852180954163,2.6867226063943144
CN,1,50208.33296001469,57950.47173156376,55.224050682867855
CN,2,46672.68578785211,54370.91049128241,52.141161965430584
CN,3,44513.45949009129,52094.39417195357,50.23397743064382
