Country,Lag,MAE,RMSE,MAPE
CA,1,146.55270367361842,318.1594389240655,0.6420311531325219
CA,2,146.61018991891237,318.16633999291867,0.6423839607272379
CA,3,145.46539040605077,315.92413645993213,0.6378472025357125
DE,1,763.3352859306117,1417.8906684671913,0.835480665370177
DE,2,780.6517641176504,1428.6624232876527,0.855612265255557
DE,3,781.4808785175787,1429.0298034585496,0.8564666500456221
JP,1,960.6144211982003,1974.9872583706376,0.6798772724432506
JP,2,961.0107847315894,1975.020147677724,0.680114682221303
JP,3,961.4548431289767,1975.0589261396585,0.6803806597815109
KR,1,697.6057305809866,1362.6415170315931,1.4535762083414467
KR,2,774.7618696596775,1383.0616462910737,1.6024336492670126
KR,3,796.7401353225172,1387.6823265977737,1.6495361810946962
CH,1,205.21216673028826,403.0826267579358,1.5671819160654243
CH,2,209.39840134012113,403.14283485597434,1.598390200795565
CH,3,215.48824744314467,398.6319007238176,1.6195441796656724
GB,1,435.579949306452,1498.2033523235987,0.9699762824386288
GB,2,450.21370224123217,1501.9587049697807,1.0018973568570708
GB,3,452.83404665682065,1502.3144676205698,1.0076443809597422
US,1,4156.239303609994,7559.5983628489375,0.9631137589863127
US,2,4293.676298859357,7625.2984001634595,0.9978827955556548
US,3,4295.1811314592205,7626.146585973315,0.9982410026444224
CN,1,4355.9697836994965,7821.490520116125,2.8973537342004496
CN,2,4792.808215619843,7883.008933133129,3.1445742722548875
CN,3,4897.180951955379,7905.1681122663085,3.226726648092213
