Country,Lag,MAE,RMSE,MAPE
AU,1,729.427022181594,914.4666468868521,5.748122685202103
AU,2,736.2093720355564,906.1533672371246,5.705693002206087
AU,3,403.0261230469727,479.91025382893156,3.6240640149397576
AT,1,261.5246363063167,388.18342090393014,3.08210145450711
AT,2,251.66303940760517,360.3035634756675,3.042599957266773
AT,3,252.1129482329435,360.9862513649436,3.0406168383981007
BE,1,198.91130274189516,259.1061749932825,2.277614748920123
BE,2,198.80127408238258,265.7394146509227,2.3314581163852233
BE,3,192.2325217935147,262.42336268583114,2.2469406469498443
CA,1,650.3974736051202,832.3290520695131,3.0257971821160967
CA,2,626.0048952938779,800.7499846726512,2.902354830649574
CA,3,629.5364837386804,793.5197643729111,2.9130194634324846
CZ,1,266.65130915535565,332.0974760963566,5.379109860608932
CZ,2,277.5377048175454,346.54533761041944,5.594921339602405
CZ,3,232.03767213183548,284.6612601730701,4.819166277581378
DK,1,194.8621668510198,235.97096745682973,3.8391025014536173
DK,2,197.2226462963542,238.7991878157671,3.892933086890505
DK,3,197.22233656584453,238.7988993362191,3.892921569639727
FI,1,239.7205132763646,296.42844426072986,4.5392860758171585
FI,2,245.48909680061576,300.8845221857423,4.758837118191214
FI,3,226.74568061912842,274.36408507768317,4.30285947553251
FR,1,575.6776682273213,828.4444184926266,1.1258434292490804
FR,2,572.1994936023565,826.0931335782504,1.1197561703837058
FR,3,577.5864493697522,828.3074713645594,1.1319222238956288
DE,1,2163.8669620089827,2623.770290498867,2.506987662704773
DE,2,2158.203816859001,2629.234998009188,2.5139664591644144
DE,3,2158.203499606275,2629.236208401047,2.513966581739873
GR,1,154.77592167716688,188.51775771318432,7.179119420066909
GR,2,97.91361474150676,128.67678740347066,4.553501179911043
GR,3,112.80994687898101,143.689416997632,5.252501559099817
HU,1,134.5168452385017,181.9073845563875,5.603452729188836
HU,2,135.4389473368059,169.348089441474,5.714444315841871
HU,3,135.35101677880786,168.9825192545087,5.703019714956097
IS,1,38.13849038524094,45.59819741741866,23.450874957895746
IS,2,37.54425705249121,44.079167192479574,23.064240947766006
IS,3,35.74874146022501,42.84334260164511,22.80343099146957
IE,1,131.79509064973266,175.9486525859319,6.6094129016640455
IE,2,120.39087027050125,159.30949956661846,6.830111414975051
IE,3,124.26106436755141,157.98484760845696,7.331782185448116
IT,1,684.4180964428938,862.3612839300632,2.7523077038439627
IT,2,692.6157352321217,855.6153891664427,2.7800625948972586
IT,3,692.8151550367382,856.0192630022143,2.7791083932120393
JP,1,3447.163050199413,4657.641549114574,2.4739549142354
JP,2,3440.2910889020673,4646.451831638456,2.4677610463485804
JP,3,3367.0564332553736,4563.41107817225,2.4226327045743026
KR,1,1560.3360628987602,2017.0153617379794,3.616542608018585
KR,2,1578.611432637758,2018.2912911925027,3.7204923567196633
KR,3,1526.4056519195867,1911.880589998518,3.717672984817956
LU,1,39.5365453678387,50.28676774923337,5.112027559413088
LU,2,33.61066418506788,42.201625626962155,4.405067567074155
LU,3,39.5365453678387,50.286767749233384,5.112027559413088
MX,1,348.0320022524544,434.6614441470052,5.06302703640922
MX,2,354.1161762937427,436.2519555201022,5.140443895617315
MX,3,383.27172972779914,456.47954979764114,5.621249494174135
NL,1,321.574142944963,448.05001776783075,2.588251035737986
NL,2,333.9912231556008,443.6172981174967,2.7066119590058477
NL,3,341.3120156774054,443.7675551168319,2.75189945589114
NZ,1,62.828502528962716,87.30353448875758,4.10830298223198
NZ,2,63.22160676424149,87.54432384056436,4.339640975929707
NZ,3,62.34022226122769,88.31741914242893,4.2868972978380135
NO,1,126.5215288681009,169.50900033286567,2.889594616497242
NO,2,128.2214839438568,174.55268345840705,2.9714978967481125
NO,3,136.4685943204705,177.56451197784065,3.0872754348809317
PL,1,270.3394104830529,387.98117707651556,3.6935133549976547
PL,2,239.951748560614,331.86803588284056,4.106699866867028
PL,3,237.05995597079286,331.9162663771857,4.0993494880522725
PT,1,157.1408244293273,205.432345390759,6.853465508347684
PT,2,142.7055123797047,186.89123742988127,6.704599730568267
PT,3,122.75042314065847,167.15603508403535,6.321107078428892
SK,1,107.68746745098278,140.99913606178106,12.458379033729498
SK,2,78.44950000459441,105.8686254632414,9.0829138060086
SK,3,73.08003270392707,101.12302220570662,8.551836626658156
ES,1,523.6030230589461,682.0680750127659,3.669199172768789
ES,2,489.2592776052477,617.5568202859143,3.4877808226635234
ES,3,438.32242623344416,553.3588801332495,3.152017289676449
SE,1,458.5413985764361,575.16806588798,4.062818198923709
SE,2,452.60536003948425,570.3390604852309,4.02578442011757
SE,3,453.2591022519201,571.0463965779471,4.03244861642042
CH,1,352.00246556272873,408.5276676877805,2.6679781958828004
CH,2,303.75584885137005,376.11817365403977,2.5246812677005637
CH,3,303.50404220614564,379.21862905343716,2.5349110069716243
TR,1,452.8337430656618,714.9916284801234,6.1595924978540735
TR,2,417.7256025197658,626.3104093017299,6.261851888093374
TR,3,380.72462978340576,561.5284920147155,5.7684357931917924
GB,1,2412.2448540562305,3924.4822480275475,5.1798881630377585
GB,2,2404.170490468797,3892.798404715785,5.157905726260732
GB,3,2300.628454073471,3538.219227921145,5.150970802706033
US,1,8037.537138176946,10239.153759875968,2.1586855463913843
US,2,7898.073992809831,10071.506357596842,2.1233078053268497
US,3,7125.9458601477,9293.37993117157,1.9443680635134655
AR,1,246.97944986411645,289.7720007039679,8.491314607682956
AR,2,197.05089108522102,243.5618955204485,7.201499655136886
AR,3,197.74191847688166,243.30200066045182,7.227083165749619
CL,1,57.52196429445243,70.0376557616085,3.9476944522474655
CL,2,43.51601300837939,48.34385307809511,2.9498206279288204
CL,3,74.43698622903443,85.3258011287234,5.161212182678311
CN,1,3114.6579629857797,3820.8336010664357,2.565620676808556
CN,2,3136.774723190207,3850.075015277343,2.5787003263408335
CN,3,3136.774723190207,3850.075015277343,2.5787003263408335
EE,1,58.62223553089231,88.22249632032657,11.399863234584236
EE,2,56.29663742018506,87.64927539262828,10.703326593941064
EE,3,86.24630245016388,114.79066951668916,17.96736363145743
IL,1,337.80245520233797,461.0750937553119,3.7171746822255414
IL,2,332.8889784483877,455.3117429405891,3.6721488508957436
IL,3,322.4045784210309,438.60624576909976,3.631367301439861
RO,1,186.08931739085403,219.36720449141933,11.110051798104232
RO,2,207.23964431415126,235.0139659692169,12.893514402917303
RO,3,235.68889508586363,279.5037061152745,15.23569325612204
RU,1,1237.0729190338348,1551.7769946076753,4.82541885378683
RU,2,1226.1598224518061,1555.2553237658337,4.897760665037136
RU,3,1221.3232224814988,1566.3772834803087,4.961662151061915
SG,1,395.3015001090129,515.9743759097729,6.470988004479615
SG,2,311.4189125027062,422.7632094878935,4.980358130650836
SG,3,311.3349951282788,422.5385269218853,4.973920251476429
SI,1,65.50677306236648,85.79361038041854,5.577622139173187
SI,2,123.32613400943492,155.264184001169,10.300609515500788
SI,3,72.09351182597388,98.47436464385649,5.976110197632368
ZA,1,316.0287631104131,374.28671497539864,7.941126574472027
ZA,2,288.7539065556256,344.5476825138285,7.135451818214812
ZA,3,299.28195819569737,365.2224012023568,7.518602928956994
TW,1,493.6419398353229,670.8215915902257,2.0173925301512305
TW,2,488.1317184281477,662.5643566275655,2.005926638154903
TW,3,488.1317184281477,662.5643566275655,2.005926638154903
LV,1,31.916012946067013,39.41994920108739,15.339921358952038
LV,2,34.86478126498624,42.40192468096531,17.04435669464143
LV,3,35.279541593447135,42.529760428363446,17.541517157240463
LT,1,46.688150415032844,54.36044505752536,6.91849483466285
LT,2,48.178969761168815,56.70855658289889,7.173017533872189
LT,3,49.925227236293566,59.03616643122302,7.495556492214936
CO,1,149.4272745946789,192.78266792086748,11.13980713411287
CO,2,154.2177954504352,207.29595047397382,11.913425944824981
CO,3,153.01582277099507,206.37219085220505,11.756524336528926
