Country,Lag,MAE,RMSE,MAPE
CA,1,495.4421744659578,608.6599480267924,3.1798807156861106
CA,2,470.4217631693548,588.7457738648259,3.0362352750160175
CA,3,410.3745388247337,515.2986438182696,2.541893270649225
DE,1,2068.00732381329,2714.414237391096,2.7373920343744143
DE,2,1484.328287702163,1938.8459723013452,1.9760799622175294
DE,3,1332.6171919027038,1694.8697808265665,1.7054339794135978
JP,1,3796.8273255070944,4320.5335409959325,3.1973492496932225
JP,2,3353.75955957065,3618.6047094117484,2.7673723816504623
JP,3,3031.9427185908116,3481.4242684438077,2.604818516722843
KR,1,5183.889686828371,8503.596745524595,13.572208620456202
KR,2,10862.928309621335,13054.743976152817,30.95680756577725
KR,3,13284.78635178798,17618.804661589445,37.76302108731568
CH,1,1005.0072992750593,1053.3572768930237,9.893182484986877
CH,2,2096.0983451283882,2651.5058051086344,23.717155879317215
CH,3,1044.4050186232794,1187.3833398703018,9.960685593152904
GB,1,2866.618108050953,4169.457042107721,5.4397192304813275
GB,2,3220.381987981472,6081.590464494419,5.555567568291842
GB,3,2992.266792270395,6234.603611696503,5.211664524783651
US,1,6773.604366125408,8705.161081439615,2.0461941580163177
US,2,6991.23975238845,8523.184309695722,1.9346989169745106
US,3,7191.165746743798,9031.64406003803,1.9968082734166874
CN,1,7225.947931446441,8703.846059763284,3.328320804638253
CN,2,4476.428363139716,5531.62066235503,2.132950829023197
CN,3,4183.457032152077,5237.659999520563,1.9255860568826797
