Country,Lag,MAE,RMSE,MAPE
CA,1,718.658351929742,1090.0390390460968,4.5587823510174434
CA,2,866.6234536947974,1124.5725641608283,5.1708857025282375
CA,3,824.0054041168867,1116.5283590675504,4.894567754831446
DE,1,1441.0023407873136,2171.34618672275,2.206520879022464
DE,2,1441.0023407877084,2171.346186722738,2.206520879022888
DE,3,1470.7792982389115,2172.1317922541434,2.235673619960947
JP,1,2092.1048110385636,3641.083319820169,2.2485058385780055
JP,2,2092.1048110383435,3641.083319820192,2.248505838577654
JP,3,2092.104811039875,3641.083319820161,2.248505838579134
KR,1,551.2135113432528,829.646718884405,2.156759361862709
KR,2,562.4671488747013,744.8587974130462,2.1960732328481622
KR,3,732.4598916800375,1033.3265265460725,2.6931098178222563
CH,1,355.22630521676774,506.8448219896944,4.873489652063453
CH,2,355.22630521681833,506.84482198970574,4.873489652064021
CH,3,355.22630521676155,506.8448219897009,4.873489652064018
GB,1,698.4844887236825,1195.6632972346715,2.1857097678700272
GB,2,698.4844887232988,1195.663297234675,2.185709767869224
GB,3,708.9911999413902,1195.9612241424077,2.209626036528733
US,1,6824.644130387274,10761.497718125003,2.34949109761076
US,2,12311.233060065211,15109.969989686266,3.6861543589973613
US,3,10225.198724894859,13200.792769468815,3.269148906025754
CN,1,2923.6906615335993,4802.507974925125,11.979617264272923
CN,2,4817.4983314160645,6877.69601184495,12.777131037624745
CN,3,9638.469577057733,17619.33511146734,20.896041092100685
