Country,Lag,MAE,RMSE,MAPE
CA,1,906.9794011087049,1042.5900905997314,6.485906691823057
CA,2,633987630002465.1,1316322970713918.5,2255257995760.7485
CA,3,437075037546654.94,873511026186560.5,1544195712120.7998
DE,1,3465.13261293051,4309.712860038727,4.33541461826129
DE,2,3320.5539507716917,3942.3086876196257,4.213539609466776
DE,3,74845247273362.7,168529353115717.0,73968317020.1793
JP,1,5145.237362020613,6290.672155439514,4.720357376065993
JP,2,5729.1813435653485,7243.6518147564975,5.073363655883866
JP,3,5443.989058076678,6694.052000160341,4.902014313871937
KR,1,56264356756418.92,97430550393667.11,61124939798.57036
KR,2,35633154306806.24,57118845067364.92,38139367660.22498
KR,3,75227295180260.53,136162383776393.92,79684922040.72139
CH,1,599.1613035554165,680.840394434717,4.608261707976894
CH,2,498.09572448934404,555.124002712465,4.000892559066213
CH,3,339.109393762333,433.32069392191283,3.0454397404661426
GB,1,2398.2657871630454,3921.3335300056074,5.475049835766876
GB,2,2148.927588636083,3391.78829226743,5.029943393824982
GB,3,20398009522189.086,42164489713499.055,39297547687.9887
US,1,292948462283273.7,540842905945616.8,51974925472.88884
US,2,719911818079352.9,1807258101269663.5,152281488875.67078
US,3,341040206773918.75,623002858959313.8,61191792647.440926
CN,1,29099.864763185848,51288.94580387924,29.873107634182645
CN,2,3911689990862210.0,7066744853908267.0,1010763162643.2135
CN,3,638453685708822.9,1107632096942242.1,166714863780.76944
