Country,Lag,MAE,RMSE,MAPE
CA,1,230.19931790131665,430.7331788517342,1.3317740022810718
CA,2,207.58070337881637,401.11965572435724,1.2016202582340325
CA,3,196.30713446532806,383.96187266484765,1.1479730931324827
DE,1,790.5109391748051,1357.5303413506954,1.1915357914204956
DE,2,711.4354983046728,1242.2898146016946,1.0870589422233785
DE,3,711.0536816737663,1234.8455276758207,1.0832794069655518
JP,1,832.7639525829669,1419.0860594779444,0.8260405017156913
JP,2,745.6111452533873,1268.484687354783,0.7669225713607791
JP,3,708.1476090146432,1235.8424018100786,0.7286216884384892
KR,1,386.6942308771006,812.6953648091312,1.8785925203421514
KR,2,318.962643528777,600.0452668779104,1.6687026585817086
KR,3,289.4295033139022,551.8174430389422,1.491015473142565
CH,1,1.5711520973127335e-10,2.0328274755034643e-10,1.0675102692502378e-12
CH,2,1.2164491636212915e-10,1.3512502081846003e-10,1.0798442976206039e-12
CH,3,3.1604940886609256e-11,3.57201077106865e-11,2.466405888876504e-13
GB,1,398.3685196833203,793.5895695146684,1.2369920321340464
GB,2,320.9785044252199,698.5123642578138,0.9941227015831949
GB,3,321.1483760178332,688.993220833469,0.9938569899003977
US,1,3094.9782989226883,5512.296271579429,1.135950143635559
US,2,2680.0524049198525,4521.673824127335,0.9431897454907813
US,3,2611.590313841166,4477.4992633893,0.9302804333254623
CN,1,667.4955206501248,1058.1194764558923,2.0902801553710644
CN,2,543.0655234784333,922.821962989692,2.1020493450500695
CN,3,552.4044411984514,919.8273566635576,2.127535044772127
