Country,Lag,MAE,RMSE,MAPE
CA,1,30.6318208470648,120.24521951884863,0.21455929245278818
CA,2,3.3501685127772327,14.307056885570619,0.021793077348435302
CA,3,9.238445070675678e-10,1.1446998781289434e-09,3.3919279994535346e-12
DE,1,92.45671988116625,363.21337570985446,0.1437998495485423
DE,2,59.504076828424466,239.05911249791114,0.08920691300837327
DE,3,1.3417368965282878e-08,2.0134173133070414e-08,1.3455879889040325e-11
JP,1,112.6660682324377,417.9098457934483,0.1013201141700166
JP,2,24.79856987645937,104.82718153596717,0.02286906551430325
JP,3,4.970493040325001e-08,7.169865835327603e-08,3.5136682556938643e-11
KR,1,8.100141712930054e-09,1.048390618739962e-08,1.5433114000664407e-11
KR,2,1.0279917559172543e-09,1.3314590200619292e-09,2.100490954861175e-12
KR,3,6.323817716394034e-10,8.649090482543875e-10,1.175599440554847e-12
CH,1,7.551837673721214e-11,1.0528188521101216e-10,5.380624744328396e-13
CH,2,1.2702609334761898e-11,1.6768609450215578e-11,9.46035013583954e-14
CH,3,2.8345918205256264e-11,3.340293932553981e-11,2.0606553863774848e-13
GB,1,52.066974029273354,215.28945472331122,0.16049932058928637
GB,2,15.221584029319345,59.148714251801074,0.044783618377982184
GB,3,1.9717228527859612e-09,3.7083955562530896e-09,3.83459064420501e-12
US,1,314.0481408491775,1338.7223756114158,0.11779977897056965
US,2,79.42958870528426,325.78380423750804,0.030215718567603758
US,3,1.9821721039950214e-07,4.173579322694501e-07,4.337258781965125e-11
CN,1,20.969050932200485,96.99020017964038,0.08753071868131065
CN,2,4.603855000153233e-08,6.258456215698436e-08,3.306774623509458e-11
CN,3,5.831912188257679e-08,7.88370527614183e-08,4.378248537019606e-11
