Country,Lag,MAE,RMSE,MAPE
CA,1,326707992843.27075,705017072945.45,1197677653.8830764
CA,2,1093659909385.6344,4568888315462.312,4038825462.961615
CA,3,4154562676437.088,14146387465771.08,15414925335.706604
DE,1,947.0898612336409,1643.8670338544418,0.969830365603721
DE,2,922.7042117853857,1523.4832370248714,0.8941397513067316
DE,3,852.0425607690436,1411.9597153457978,0.8850463069517527
JP,1,8487.023947181922,21039.097334167025,5.5735246562354614
JP,2,759388902224.6665,3377210949709.0,494410951.3121845
JP,3,2070.990103934217,4631.219571423866,1.3578292991224932
KR,1,4625.07025558411,10581.484244357267,11.675983466026986
KR,2,3483.9236388938884,7711.488470606901,9.377407059069375
KR,3,3867.4850398191566,12577.00150992426,10.721429851173552
CH,1,259.6503583879829,582.4993336331953,2.0005023484135767
CH,2,287.39996394852994,547.8259961548551,2.15421323672658
CH,3,291.93269699147913,568.341026019722,2.237876995756918
GB,1,141459834909.9189,329703736273.6676,340321556.31143355
GB,2,276855049354.2252,908772843845.1178,690929472.8822689
GB,3,623713488987.781,2462306143283.9736,1644618934.6799958
US,1,1328.4077879178392,2407.922803537468,0.28174893415174507
US,2,3045.704873618141,6476.901486764715,0.7025965312664417
US,3,313523779932.5109,1513830130588.786,77975246.32290924
CN,1,45515.52429016656,105810.37437174289,13.497632209402694
CN,2,19423.664710845787,42285.127125253355,6.177946002584153
CN,3,8605.771890833772,14901.53309666331,3.082303725356277
