Country,Lag,MAE,RMSE,MAPE
CA,1,171.00430280966285,424.24499247352907,0.9432944171910141
CA,2,216.3372236217141,439.78923914168877,1.080197538065684
CA,3,1100.3228680664915,1416.7968958463614,4.221313134856584
DE,1,584.0128636448828,1052.6459562362195,0.7382350823154439
DE,2,694.4296103835692,1129.3003533580597,0.8488162420939823
DE,3,545.3244649158344,1069.7166556950663,0.7056903722067449
JP,1,457.7396367860666,1745.7875519924744,0.48233092035717295
JP,2,430.69087395733385,1745.2468884074267,0.46607491063659323
JP,3,430.69087396367394,1745.2468884074274,0.4660749106405512
KR,1,69.49225077926923,350.70588796519536,0.34522682303062235
KR,2,69.49225078225403,350.70588796522463,0.3452268230357306
KR,3,69.49225078789115,350.7058879652378,0.3452268230439263
CH,1,68.43268271234848,212.12793176679952,0.868555454396664
CH,2,185.61288933384873,368.1864113049464,2.005390713659892
CH,3,293.01686362769254,485.007100117981,2.6024026676632817
GB,1,158.9609197292401,499.44044916777364,0.4788363320684565
GB,2,141.10095032900088,498.62068564933645,0.4393315483957141
GB,3,140.0365583909137,498.6440704602792,0.4373619248809732
US,1,1073.8070565056944,3624.0094798185537,0.3853363240373973
US,2,1631.8939598836748,3746.941443929877,0.5028052808295387
US,3,1147.7927706672263,3663.587881064787,0.40553849294510974
CN,1,577.3114194393585,2267.4296007708595,2.284817969436305
CN,2,577.311419428681,2267.4296007709136,2.2848179694319977
CN,3,577.3114194414898,2267.4296007709167,2.2848179694399655
