Country,Lag,MAE,RMSE,MAPE
CA,1,19463441097278.746,29167145733501.598,69074947244.89203
CA,2,43714570721414.0,141350665691348.7,159788972948.66885
CA,3,61015259395588.92,118508740906017.78,214001169953.64746
DE,1,158725599934644.47,308435641200060.7,159977729580.68005
DE,2,1038756048847517.0,2835160115027750.0,1113096798114.0432
DE,3,769931432160936.6,2381253842033597.5,804689996350.2141
JP,1,3107.073898870122,5482.574814421849,2.039224085779653
JP,2,5275.48780066386,14275.77239950118,3.4817494822324324
JP,3,2839.63474991069,5262.968285654001,1.88013680601451
KR,1,3019.3119405199186,5197.360048536468,7.217898619456589
KR,2,2592.676168597701,4262.492416020189,6.175999390982854
KR,3,1325.499467909228,2169.279732057912,2.9269207396128287
CH,1,24924232715064.32,60051426556454.125,207870217893.81674
CH,2,254749595047100.3,702362251413515.9,2169793376280.635
CH,3,1359627332668996.8,3513690555958531.5,11480470723617.033
GB,1,59074187264883.31,94230892354461.38,107632348167.34259
GB,2,12130829088358.158,18599807952886.562,22941407183.568905
GB,3,15157045172142.771,23811227110153.363,29419975065.568382
US,1,76368499515606.7,156541800638417.9,17217212943.41003
US,2,113545263603690.98,311979602233876.6,26240277776.168884
US,3,72192819092651.12,126646351433401.45,15647236029.39069
CN,1,26278.81521951929,49620.4751562555,9.445464489025952
CN,2,11327.825361245606,24170.787797126373,4.497906138927528
CN,3,12707.96595029103,24337.233346329052,5.195931170830367
