Country,Lag,MAE,RMSE,MAPE
AU,1,961.7401540933688,1101.4150761653696,6.47240375727476
AU,2,5801.99682058584,6485.039527073739,47.93998947971232
AU,3,1281.4513270065604,1517.387926695488,7.783995018798118
AT,1,237.54168483597226,308.84614891500763,3.322315575772303
AT,2,121.84875200177402,138.42342154030007,2.282248858550325
AT,3,192.96884599071683,230.9481522908654,3.1859444873478124
BE,1,461.8674521520191,726.674418530004,3.518476660056698
BE,2,518.8270485671607,770.5334701908732,4.4554059830112225
BE,3,666.2984061999887,924.9057041207909,5.786645029618652
CA,1,554.8645085146857,655.0627235569688,3.3870796951571975
CA,2,657.3947887894831,827.961938737104,3.772384630810388
CA,3,814.4343168964626,898.6892875011731,5.066507629015367
CZ,1,456.9821828716943,558.2374205896353,6.563528620081039
CZ,2,528.2856325356099,602.972340941251,8.455966582136549
CZ,3,1324.1664764848283,1715.4741218767278,23.30002941006349
DK,1,179.41354403149387,211.9922762945792,3.5490897952225313
DK,2,242.48926053043635,272.59646432749093,5.34968602031575
DK,3,257.4110953081034,329.7908863810708,5.166826773933637
FI,1,277.7817418457382,313.7268948424333,6.478747842359218
FI,2,159.13155636709632,220.89705433144917,3.4921499703282524
FI,3,219.15892926871243,276.4729236290728,5.063437997682209
FR,1,792.4624968126736,961.3128262509223,1.6917579364759583
FR,2,731.3251720148255,842.5220153686337,1.5441082092839045
FR,3,1938.2221402351115,2316.093142799331,4.152604702532589
DE,1,1052.1717277329117,1374.331710720852,1.545984289394211
DE,2,1990.1177559025764,2586.7397967617107,2.8161610501671603
DE,3,5515.109167610581,6140.070348759033,8.140523332003886
GR,1,121.44716438901696,181.56294006304228,7.718272165117454
GR,2,7129.806043225833,10608.698179219851,484.5204986011604
GR,3,208.22054389563704,246.693160704375,12.714348560926265
HU,1,240.0039362101327,287.9129113285109,9.90754291948041
HU,2,206.87983127513715,227.31043077502684,8.96059838020707
HU,3,701.4679372906195,922.6370538311123,22.004029088225618
IS,1,21.528526428552578,26.19425410778935,14.005617213121752
IS,2,13.063880745497523,16.394978615334505,8.204175867215412
IS,3,53.60209947372108,61.458890110309525,37.80967686978159
IE,1,146.70475902393073,182.12083775955512,5.6264422953403015
IE,2,196.82899212024532,253.64295397911812,5.519905712175174
IE,3,182.78933245072926,226.95417663591255,5.760280133846033
IT,1,1207.4666384574166,1301.9143122991327,5.276810524192535
IT,2,1240.6451335123647,1349.5160656695327,5.654631537054184
IT,3,1854.3240635856473,2280.7546640134897,8.79830637254336
JP,1,2510.0538519929632,2975.2007868192136,1.941076747291179
JP,2,3017.874511971282,3248.3571640757436,2.4125500953891788
JP,3,5560.597523672952,8113.576144974922,3.8817542029745162
KR,1,1632.8512658887423,2180.392427331205,6.225663065653847
KR,2,1801.808836283668,2241.8273067033037,6.762147016607924
KR,3,15391.493171926946,21261.67773436093,63.515578461095046
LU,1,52.01280980825075,57.54412396923179,6.751353090485622
LU,2,194.88212837760406,261.38559743014383,26.524106254096814
LU,3,359.06086798722276,427.5837712209083,48.52722115144556
MX,1,528.5296406144558,625.8401737017246,6.639880847419712
MX,2,578.2352162026798,818.762642819431,7.176763052826125
MX,3,2395.8207131940385,3886.479278433748,27.458922064928114
NL,1,430.6839120405864,514.1345672106887,3.3023569861307127
NL,2,650.3693443745831,905.4745994368293,4.9432521503695845
NL,3,708.7060954865794,965.0771985356927,5.402586870095939
NZ,1,68.73979140859743,96.51166309112006,4.434496408259037
NZ,2,254.19909967385993,316.7068552028751,14.937822001757853
NZ,3,237.3464344020712,298.2735810072187,14.614161431912152
NO,1,152.0054082103261,169.76946877007526,3.3335469458888296
NO,2,211.14668527999962,220.7339449686605,4.864135998124609
NO,3,332.10436578752024,388.9853317169476,8.077654666402774
PL,1,1201.4196201619786,1303.3673876072478,11.884015354328078
PL,2,1817.6575814896823,1884.181758679797,19.017489362467657
PL,3,568.0264569349409,725.5968664034565,9.772977981348486
PT,1,243.57190660036525,371.3396286109388,11.473271296525095
PT,2,178.02893855066458,305.1280956453006,7.9395593973560965
PT,3,349.6469523680168,501.1337697597699,15.699369248311799
SK,1,184.54380327658401,264.9705346569515,13.935568181713684
SK,2,229.54509242659122,279.8289667652066,17.405872087012874
SK,3,628.1652171277893,761.5667911309454,53.15344702234873
ES,1,336.8654538572587,387.309397358348,3.3922228531082075
ES,2,656.6678541809574,727.5622649365824,6.891251528135443
ES,3,838.8568091276636,1010.7102384567535,6.7985665071304435
SE,1,981.7295372121325,1231.9849555918997,7.5716050806174096
SE,2,1894.9152927705165,3043.7343232359567,13.971507628356497
SE,3,1312.1263418892702,1742.15517581547,10.248807915756263
CH,1,1071.7881074551751,1214.851188076703,11.77806864494486
CH,2,868.6386538880397,992.0132223365273,9.566670162845632
CH,3,1383.4172457492346,1846.5583404058364,15.857762776084083
TR,1,450.57766035833356,545.1669184759827,4.416662499768089
TR,2,1586.5943807988035,1808.9778049563984,21.505448245181423
TR,3,1080.968451516188,1256.4982873666252,14.933469413275677
GB,1,2414.4378275834924,2939.963937766804,6.6406763501746875
GB,2,3654.413325668419,4880.202571464383,9.409497657080705
GB,3,10766.13081358416,12486.644977714212,28.768617697925563
US,1,8251.261044050552,9791.799555501844,2.6331320636946467
US,2,6850.316053262075,7476.997605077308,2.2286905211182857
US,3,16499.975807529045,21471.654873873136,5.316223615857334
AR,1,284.5599212447521,345.45320968864047,8.996218755086888
AR,2,1008.5739456567701,1057.2129227455544,35.95400251921676
AR,3,942.7461702908856,1473.193539516985,37.51431470569933
CL,1,206.58023402877643,233.3693877034249,16.483578450665714
CL,2,82.87344196754809,98.15960305805221,5.818737155152722
