Country,Lag,MAE,RMSE,MAPE
CA,1,843.7262112780995,971.8511120106841,5.061558396280672
CA,2,1075.889556088829,1227.0334211123213,6.206745034130733
CA,3,914.7291555860959,1112.0010665359268,5.1181046053441674
DE,1,2056.2744622567434,2309.19692322797,2.8818705777128715
DE,2,2070.936419096647,2300.683034953442,2.922980208827091
DE,3,2380.859103846781,2561.4918051833088,3.3746332783751365
JP,1,3762.629576880534,4949.76202870601,2.9002566385412267
JP,2,4393.197115446259,6254.324339729289,3.1547923487652723
JP,3,5089.490205208949,7066.02836800879,3.6341463499399125
KR,1,1440.0949542888513,2076.513553138438,2.6045667118553832
KR,2,1092.1299788215558,1379.3559708709254,2.846382210751987
KR,3,765.0906499206425,978.0268351864331,2.8077054825447476
CH,1,853.1080630474235,1030.760648266748,7.978027560775358
CH,2,934.6639266230377,1074.7135232014155,8.880346938006664
CH,3,673.0696878888075,883.8624852360925,6.136992222648293
GB,1,1038.5573411037808,1188.5930694629255,2.7127299326154315
GB,2,1357.6319003385895,1959.4785730316507,3.0592265013441535
GB,3,2984.400429100005,4800.765345634246,5.449037988471013
US,1,7083.656597184992,8917.252548261644,2.162838882362487
US,2,6809.420464210929,8673.99519786368,1.9721609468592485
US,3,10122.680262085982,11774.477232043411,2.9808347657089374
CN,1,20451.50058124011,26487.639440887135,7.017801610869887
CN,2,11630.998845294595,14051.050226753436,5.143484535145197
CN,3,12376.033101202082,15005.561271701768,5.430799848223154
