Country,Lag,MAE,RMSE,MAPE
CA,1,2952.2528399420553,4126.621645024376,18.99654193034337
CA,2,2565.5693942617254,4098.457875477117,17.021169070140115
CA,3,2675.130444191345,4077.195910488582,18.446694290120234
DE,1,5548.6770274509545,8857.473801198883,8.506694625363439
DE,2,5652.851773260778,8922.789778698985,8.58690705497056
DE,3,5962.376139428707,9081.915461309267,8.84095642291498
JP,1,13778.689697189533,21609.923760820042,15.864271137990812
JP,2,13381.256074841756,21894.197126159743,15.85195015715499
JP,3,12794.578306992995,21573.963997654322,15.34947622796522
KR,1,8337.13281859937,11984.794823796548,28.832668308496313
KR,2,5112.669365102874,7996.856454355176,21.38632915359121
KR,3,4288.559092941979,6497.342356977874,19.882468388332743
CH,1,849.3597035282404,1147.2705526494133,11.583171440945561
CH,2,789.2569228357863,1122.5536131205401,11.234254686261588
CH,3,782.503039952153,1121.7876001220195,11.194312264420555
GB,1,3208.993873401768,3521.6620727982863,8.25467129234514
GB,2,1813.2792430079026,2318.603851231984,4.804256935331032
GB,3,1466.2323126914955,2246.532986110812,4.051750697269799
US,1,35321.5988550974,50101.86172839276,12.936883394607552
US,2,33243.864834559165,48887.55587285067,12.55884146623638
US,3,32518.181182350418,48749.505314005786,12.522706105726684
CN,1,46267.60091775288,65717.36251022974,68.49623812920919
CN,2,43757.59940922036,67217.39988656297,58.30431143705973
CN,3,39223.840321987,59245.96977007292,56.35670589270867
