Country,Lag,MAE,RMSE,MAPE
CA,1,2950.0896922316215,3726.49107308926,25.85978630466869
CA,2,2535.734439869056,3357.925547478387,22.831846426063937
CA,3,3087.272499815746,3952.555354291237,27.408177707907484
DE,1,6031.371792414789,7579.467254720747,9.420309705791045
DE,2,5659.031016490894,7081.368227442351,9.047073048030049
DE,3,5349.265176168817,6691.983771790458,8.699529832336912
JP,1,20521.614023075366,27582.23457788818,25.653626726287413
JP,2,22057.4721275502,28713.485282563393,27.13096123122638
JP,3,20936.435231523374,27915.568134621302,26.088076198046778
KR,1,13118.516721639293,16214.837915027318,25.910814557719913
KR,2,8548.962936673566,10318.378409729632,17.83327589857435
KR,3,6489.559825030906,7628.343929164251,14.940250182424203
CH,1,1411.039803139063,1909.1703020380507,12.480895273891738
CH,2,1472.351304139738,1930.080323873771,12.849356184541275
CH,3,1507.2734598886348,1944.4839365025382,13.059226255922088
GB,1,2372.911705600178,3140.5320613608756,5.811126996113873
GB,2,2426.048124685216,3343.251009047453,5.793404464003206
GB,3,2659.6084173235713,3669.6915915938835,6.460888674302831
US,1,42141.93338386397,50931.0726194822,17.189201661738664
US,2,37169.880661320145,47029.93252375187,16.192246839727773
US,3,35854.389107577284,47151.36050978417,16.22888769588927
CN,1,34732.96599149233,46730.91929189129,55.67618357089758
CN,2,38549.16123250704,56740.41936166335,47.774196138902205
CN,3,38222.587626922366,56492.60943445162,47.54392844824877
