Country,Lag,MAE,RMSE,MAPE
CA,1,1378.0186885079504,1599.5865402123243,5.932977126145977
CA,2,1693.4603452360682,1897.1077583690376,7.354091046677996
CA,3,1462.3648614517376,1675.6992452497225,6.326212616035681
DE,1,2072.7111858895105,3026.4553064797915,2.4574881253616443
DE,2,2216.872742992033,3180.1008588798254,2.591212658699716
DE,3,2462.9104613361037,3427.9638045398833,2.8407855597067733
JP,1,4437.21485424488,6212.145900376691,3.1993158750463246
JP,2,5997.682655860745,7687.515123891373,4.290262410177469
JP,3,6890.94204113841,8544.088208617148,4.887089730897505
KR,1,1802.8512512510156,2424.332869582937,4.104924827293015
KR,2,1750.5821345459087,2412.874929023553,3.95070028063978
KR,3,1487.4519283949794,2005.3853361826627,3.4037381195083567
CH,1,351.0355662762199,494.28093973269614,2.668069635534851
CH,2,321.63448343804635,463.6623771992867,2.429842318652582
CH,3,281.0975412213122,458.0434014291693,1.976232721323077
GB,1,2275.2666338532363,4232.378438505095,4.855720160310308
GB,2,2050.2895989224203,3957.54193881873,4.049358665399538
GB,3,2090.2396399021845,3738.429452467503,4.180726533283258
US,1,9828.061625692453,12478.47789699118,2.4101643120114815
US,2,6738.818096743158,8638.794763229645,1.766786557096396
US,3,8807.73102373194,10506.522316030685,2.209586258689816
CN,1,11118.684327506058,19810.308485388472,6.683548751854798
CN,2,7468.165452517916,11824.968559183546,5.539397192219231
CN,3,7729.904939784438,12458.869754840614,5.581144770130754
