Country,Lag,MAE,RMSE,MAPE
CA,1,121.41828997546178,301.3897305293621,0.5333223366447211
CA,2,117.03535805692813,290.8909850498334,0.5149985514683477
CA,3,128.9214258909034,294.2547503672296,0.5519088586674653
DE,1,536.0700574960404,1191.8679216661951,0.5889323208206314
DE,2,627.8020611412388,1211.3014557648573,0.6644992068004488
DE,3,662.4554134512324,1223.8418470720646,0.6950055314251309
JP,1,975.1578664744854,2016.1791039778998,0.6920018242336418
JP,2,975.0106585808817,2032.5415586781098,0.6899330020899861
JP,3,983.5933278733722,2047.3984203554414,0.697956039934547
KR,1,652.1928793721079,1184.0440611463532,1.0490650308098233
KR,2,636.842514474638,1173.057750180334,1.024827626388919
KR,3,676.4267115152148,1202.9632091310611,1.075007834782042
CH,1,159.96839090309933,295.07690713091165,1.1897894887311835
CH,2,261.7453983438284,329.3659370106045,1.874894834530679
CH,3,428.82382593456094,456.9600090049648,2.992257516800229
GB,1,382.47669802058783,1356.6114891125994,0.8235746418237884
GB,2,386.2645230315531,1356.2425194477808,0.8251512615759031
GB,3,384.53226350666,1357.2506294691348,0.8230167418832011
US,1,4025.5018826747164,7109.681122750426,0.8594726742697993
US,2,4132.16682406805,7393.746151423776,0.8664533318948238
US,3,4243.342304586003,7412.028970633621,0.8895858551617059
CN,1,5405.4495739362765,7993.81056043005,3.4535815727330403
CN,2,5776.681437934286,8436.00863213705,3.497517250408101
CN,3,5952.01033520637,8495.70181662779,3.587010390222816
