Country,Lag,MAE,RMSE,MAPE
CA,1,106.91530269353515,282.28400829025264,0.4274713436972135
CA,2,138.68579146748505,313.72634942242973,0.5354630118956518
CA,3,154.61605500131864,319.0682997902755,0.5950132405751616
DE,1,354.3356882162995,671.3904473690802,0.3590510589635431
DE,2,442.645845563234,714.8204373231068,0.4309965639164297
DE,3,491.4719437616638,752.5443106965395,0.47329970235603813
JP,1,643.2908320209614,1434.906618053612,0.4144099251788891
JP,2,768.3138899901614,1717.2027662892988,0.4999939971120372
JP,3,791.3640828770027,1717.2598698488316,0.5193289407191748
KR,1,1039.901087029305,1691.2643153440122,1.6765600348243723
KR,2,1016.2468540819168,1677.1848969843452,1.6484131401131183
KR,3,1065.0782841033654,1714.0654224423283,1.6986451485489777
CH,1,200.66059634951228,371.3445546135673,1.4319775895460418
CH,2,302.79057397384815,403.29859580269436,2.109074985102117
CH,3,476.74063924811253,498.8348923529379,3.1602612256600797
GB,1,542.3316861158293,1653.6310180966693,1.0162064875518941
GB,2,553.4182069042087,1656.8068600294641,1.048024839897791
GB,3,572.2162824931728,1661.8486092155097,1.087550493237882
US,1,3048.9003247712935,4944.904681523987,0.5759348274349599
US,2,2744.0575013975263,4522.003726842418,0.5443681057652184
US,3,2814.8669018874366,4542.93211660053,0.5574563141218941
CN,1,4871.132476906572,7238.880250790197,2.7926162324286046
CN,2,5052.451491339768,7403.031736444689,2.9572219329283453
CN,3,5335.799098947164,7538.762112747419,3.044153563400797
