Country,Lag,MAE,RMSE,MAPE
CA,1,123.70850682079305,291.947949962335,0.5434072890891378
CA,2,110.12332294040412,284.70453064849875,0.4937446981519788
CA,3,125.10116011438757,283.33095934047157,0.5360532491957125
DE,1,483.47872772777515,1181.902684657795,0.5444243150463778
DE,2,547.194824405403,1186.9172603411819,0.5975618270262795
DE,3,604.1230251284254,1198.3479159294586,0.6463550598367315
JP,1,849.2719581483072,1948.5280012724195,0.6118786665018721
JP,2,955.358257409976,2029.5534532533998,0.6738570443825151
JP,3,1006.8643304239181,2061.133759874563,0.7083823280012114
KR,1,431.74351006806296,1011.949833753945,0.7385977789201011
KR,2,430.65880972758265,1011.8266344064078,0.7367637575359443
KR,3,468.9427328123755,1033.0309229548698,0.7819418893424107
CH,1,67.20286841033591,164.3462756335114,0.5230998956023342
CH,2,181.96795309814743,231.69137972045007,1.2767433673725637
CH,3,185.5190970950009,226.45790711634777,1.277835659080469
GB,1,397.88229511915614,1364.4683313099267,0.8454422356516744
GB,2,398.093418551704,1364.3650724637646,0.8458878949027762
GB,3,402.83387312609955,1365.7802106251409,0.8504181369935702
US,1,3491.1277017039506,6807.978690426977,0.7842827772562705
US,2,3920.2681451171925,7318.072859003672,0.833775931317712
US,3,4042.8042377914126,7337.049350919532,0.857545685560472
CN,1,3528.5009595575843,7676.746899109185,2.4390238764906296
CN,2,4012.231534936678,8153.240018422876,2.5049044915054277
CN,3,4154.360639282981,8183.789502206553,2.548234313752794
