Country,Lag,MAE,RMSE,MAPE
CA,1,403.66065221311624,1456.5694630212688,2.5874067300458004
CA,2,409.68799891087923,1443.171395991485,2.7237271250974118
CA,3,501.4116902376129,1459.4457353112155,3.088411615156242
DE,1,944.0162053747547,2981.076237232738,1.4373874236540967
DE,2,1025.0565814965928,2964.629671225453,1.5111017317365611
DE,3,951.0432854046078,2941.2119653616655,1.4303828780508532
JP,1,2756.3598830127476,8136.762865745597,2.9325559589054606
JP,2,3074.9330661432873,8127.620415241984,3.1187776466425485
JP,3,2382.322245461212,7948.220044540194,2.6703607405423173
KR,1,3168.8759486153517,4079.174913508944,6.980317759288574
KR,2,1441.4111348560698,2508.7446628116245,4.019222522929481
KR,3,1242.8329311520101,2133.2606830479767,3.7429477702674747
CH,1,202.48769688764827,602.9167434978617,2.446348324271617
CH,2,215.40257687299948,604.0616767007926,2.5556024899585177
CH,3,215.18590673678764,606.5792903204331,2.583667295271407
GB,1,508.78980734117397,1241.6182849769418,1.1761551778133972
GB,2,597.0226618107507,1079.0129903281074,1.3955961009444713
GB,3,2747.9792151251004,2847.9484335312404,6.149370017946553
US,1,4512.260715235748,16205.334189560714,1.671214601758459
US,2,4432.03631296998,16078.507421765236,1.6566645079648126
US,3,5098.494088099282,16021.693555137337,1.8166040983562757
CN,1,27886.681697169475,42093.205914323094,45.91489552570141
CN,2,21056.264943691334,33096.30086672484,36.39553414886467
CN,3,17063.13631458422,27545.84708337208,27.773170756702758
