Country,Lag,MAE,RMSE,MAPE
CA,1,778.6179051030482,2333.799825675785,3.8477339835360875
CA,2,859.2070448484715,2347.911265592811,4.268348982671368
CA,3,874.7554749849314,2329.920802599509,4.3593322660666285
DE,1,2154.0003927933153,5176.84326516321,2.780783856953906
DE,2,2594.2121593601637,5541.309513224483,3.2640139273505127
DE,3,2481.4723388484467,5532.435633466341,3.132877196853828
JP,1,4793.228049232187,10402.438039516432,4.015195889513081
JP,2,5712.768976188564,11958.501996137999,4.637886847104342
JP,3,5596.20092855104,11765.370284038747,4.544209346781425
KR,1,3604.8240765090336,5096.033049860665,5.939556787940672
KR,2,1888.5772943369097,3125.848656529189,3.295577539930768
KR,3,1573.9175079337015,2359.682729777726,2.873433984462354
CH,1,93.43638154276988,203.45146632101367,0.6669707898307609
CH,2,325.3590742562882,963.6023484537732,2.690781826349102
CH,3,530.7734604245354,1366.0621606378836,4.508259538000943
GB,1,664.3205453187392,1365.8523747232928,1.4969574157854322
GB,2,1022.9452091505636,1666.1707514824197,2.2416717489614437
GB,3,2577.8586183887596,2701.966221397992,5.086058953932576
US,1,12608.009029550478,33456.95527576989,3.4683916392266703
US,2,13971.964133632779,34896.026426788594,3.829291970954319
US,3,14062.20699980905,33984.72360127078,3.870872322323806
CN,1,22821.153585852186,34855.81246324614,27.206801600379045
CN,2,18045.829903752914,27905.168000722035,21.484520529625165
CN,3,15906.85920120119,24578.396257045046,17.269647756789727
