Country,Lag,MAE,RMSE,MAPE
CA,1,246.9794337996878,320.0119771793699,1.1843386699247165
CA,2,249.79865931154887,315.9230180894586,1.2019031935007318
CA,3,264.4039385404401,375.64123511816194,1.2805523117947613
DE,1,1074.913394966122,1406.597601931356,1.296149292197231
DE,2,1266.632598834948,1681.1349883419564,1.508953995998235
DE,3,1227.446895036202,1630.2021360290514,1.4598140407807092
JP,1,1588.2322176388805,1944.7163969032358,1.2766421930167586
JP,2,1621.5908598929343,2024.5209269626296,1.3000310747641766
JP,3,1794.5789842051415,2133.292871480999,1.4319656597922756
KR,1,1519.713887154963,2116.2879863971593,3.172422689284916
KR,2,1769.526175037936,2421.9624873710886,3.552921310395954
KR,3,1768.269761622406,2286.8816088390054,3.700357685301182
CH,1,364.3851664844499,488.13159482098683,2.8903268691159036
CH,2,385.4135326905664,458.48975068152146,2.963210110906201
CH,3,241.74153434803384,337.29430460317377,2.098357914020723
GB,1,1100.8437551863508,1827.3871741120056,2.1784840030764068
GB,2,1205.6748046666144,1856.966387884024,2.4696490140055976
GB,3,1137.2940988786247,1640.88866899926,2.3058347674804653
US,1,5112.903125168709,8796.132307226773,1.2006085428869153
US,2,5662.849320300304,8792.94182772838,1.2964047768427946
US,3,5529.146161593973,8624.421513958705,1.3306520080486985
CN,1,10650.014727888967,15044.652531930655,7.263757208947967
CN,2,10021.941342792557,14906.39264681207,6.398358632430787
CN,3,9700.764489243777,15425.034372882426,5.582999802540585
