Country,Lag,MAE,RMSE,MAPE
CA,1,249.34937544584224,306.96129491940246,1.300295026332378
CA,2,240.28326821618904,297.16851177952293,1.2667541397552387
CA,3,233.46508304387763,300.93077352655644,1.242095641246493
DE,1,1169.9054660351044,1828.7454321266084,1.358342024055057
DE,2,1336.3806143795873,1923.4477923773516,1.493555017889208
DE,3,1168.423345333009,1679.9526952883666,1.3195015421061072
JP,1,1468.4148883996597,1900.0902493331996,1.3687405584346595
JP,2,1457.2108665422704,1941.7611284843565,1.363219118255177
JP,3,1523.5302549363753,1943.934450148602,1.4039074367442839
KR,1,1683.8061483984902,2798.354561781689,3.6612151276820555
KR,2,1526.084448104242,2523.52442273754,3.4560832136905697
KR,3,1822.6106107320545,3369.7678014535654,3.767215198395296
CH,1,427.21172303396304,526.4632121811485,4.000619596724271
CH,2,380.67017244469844,524.447480269014,3.5719327238863654
CH,3,329.5529847586242,405.2001903323073,3.2878978296719716
GB,1,873.6312559180857,1287.3223259718607,1.9032954184253492
GB,2,798.5534772375033,1140.2570943977978,1.7420118443971473
GB,3,696.6950702054975,1033.2543427455091,1.4998631736564128
US,1,6668.51868536583,11131.966455410775,1.7578286372372867
US,2,6414.312044368279,11026.207992792168,1.7157795061825711
US,3,5540.640437882729,9372.202949549594,1.5267294016516881
CN,1,10024.81733207919,13813.403677679691,6.849613266162204
CN,2,9318.98081481606,13598.88827083618,5.753918328212895
CN,3,12016.308572693577,16914.401097035716,7.449223765134587
