Country,Lag,MAE,RMSE,MAPE
CA,1,431.80668298447887,511.4007154892313,2.6405086932985498
CA,2,397.4970224837291,477.04867139439585,2.520421359998351
CA,3,370.29434127295787,480.7581987980768,2.419248864209155
DE,1,2013.2238825369827,2551.6317712847285,2.7664240335411376
DE,2,1539.016171971454,2303.827142924087,2.340926486867943
DE,3,1826.341672590662,2428.347330615485,2.6213342866134393
JP,1,3705.7394424767754,4548.346268015895,2.9495566450492205
JP,2,3749.7101229939817,4574.682029296332,2.9753916097534314
JP,3,3516.1058860693,4212.055263746807,2.834069641125817
KR,1,3998.912065871173,5051.227134856135,8.722353080315157
KR,2,3296.463022012751,3880.922809318598,7.992910908617421
KR,3,5568.517693484944,7088.700523684556,10.34437935221985
CH,1,764.0219082150865,1098.1019978686886,6.882521120980263
CH,2,823.5558196213375,1119.8928870131397,7.2562005265604315
CH,3,781.9069069677838,1144.228449961872,7.070679436883713
GB,1,1823.5717373521416,3188.573536902531,3.9871394127296194
GB,2,1981.0727063094942,3528.056232769313,4.272025985232116
GB,3,1360.7874974053816,1935.4946611940395,3.2559364569926488
US,1,11584.583489247869,19618.680128815115,2.8792336699377135
US,2,11725.06701881317,21897.250430504497,2.8460037771818056
US,3,10600.19953597692,17321.822138720127,2.703598804504594
CN,1,10370.650574616227,14886.255826303224,7.943280093262444
CN,2,13948.562691462163,23587.18705484849,8.93556114876944
CN,3,19282.89177393814,30402.262841259537,10.29585453217699
