Country,Lag,MAE,RMSE,MAPE
CA,1,600.9341474189407,764.1554353540442,3.526786458844012
CA,2,629.8138980485378,831.2081303503085,3.8769248780625793
CA,3,638.401745732974,819.8855820947296,3.999146035594127
DE,1,2052.025038543088,2416.8425401645877,3.0225611649532356
DE,2,2297.5557761780956,2658.356989796772,3.3511692473238543
DE,3,2910.2502912972714,3840.6625322627665,4.346653075193722
JP,1,2687.141343819574,4055.207802112451,2.4235841506858002
JP,2,3414.1650718083347,4481.201923937357,2.993340429242907
JP,3,3830.256171047793,4922.236901570837,3.362863023742097
KR,1,3414.6272601712985,4891.310287887658,9.192672590415087
KR,2,3193.766928393475,3908.920436357139,6.602397858346739
KR,3,3408.518931392082,4113.321871833172,7.4905202331907725
CH,1,1078.411548523106,1324.7532921839731,10.033488518075236
CH,2,1088.682382691176,1345.4815192325661,10.110286594978087
CH,3,1076.610205786511,1304.2157473286895,10.059968791576502
GB,1,1596.5783390767788,2002.1479624925678,3.5220906114262096
GB,2,1155.558550833961,1471.7458333767675,2.749278067809192
GB,3,1138.4712636189215,1335.682108819214,2.6226715667459115
US,1,4785.893150523621,5417.590049285483,1.4654589086041634
US,2,5720.45639963256,6708.352414664073,1.9057113894791775
US,3,5283.560418925623,6457.122815685796,1.7529004501955074
CN,1,22747.91585939601,26884.585231330104,10.674575136034955
CN,2,24303.13472671293,28735.11789256363,8.146031191996077
CN,3,28032.999488399706,35140.664982683986,10.104617960405445
