Country,Lag,MAE,RMSE,MAPE
CA,1,47.30033817836396,128.57024204445523,0.23751374931412
CA,2,48.2707187830307,133.4813618207154,0.2438034369650999
CA,3,46.748554316585995,119.96620320101782,0.22926530031600434
DE,1,234.13573064682996,582.3570188823609,0.2746597744231828
DE,2,245.64157249665874,566.870947243398,0.2812107280553667
DE,3,260.2598321050632,599.4175214249009,0.29846448808479226
JP,1,317.7856886619436,836.3990714343461,0.23673452013488663
JP,2,362.87038617468744,910.1244857124548,0.2838850306408037
JP,3,374.70456918289193,925.8126691779979,0.28568742928654667
KR,1,188.55760997801585,546.3281672037893,0.4227562284870249
KR,2,221.8531813363455,589.4818118362435,0.4445669936648926
KR,3,249.91053295357665,609.7994434863459,0.4985258078775804
CH,1,70.90586166440829,201.06704050066708,0.5442634977010541
CH,2,78.90704375776804,209.63529319433175,0.6092989721683888
CH,3,92.01116212533337,230.6820295099198,0.7065977505462786
GB,1,113.51631449074083,569.7363403674576,0.24308701150513862
GB,2,128.67755940158216,565.4276760743904,0.26699874833537574
GB,3,137.5212068478282,585.5151845261668,0.2828883111312191
US,1,989.1629208775643,2954.5900270752354,0.23468930290044002
US,2,1133.5279191993022,3011.23091170339,0.2689595423577174
US,3,1148.9752619054761,2980.5232335935007,0.2716332456932468
CN,1,1160.3059910170516,3131.143080831787,0.8354566151039615
CN,2,1338.585102631716,3282.86469047116,0.9230784341058405
CN,3,1441.5368558122889,3497.9901449553936,1.0164720416642106
